,text,tag,author,from_book
0,“你是皇后 你是整个后宫的敌人”,电视剧台词,流潋紫,《如懿传》
1,他是风流倜傥宝亲王，也是运筹帷幄乾隆帝，更是乌拉那拉.如懿一心所系的帝王夫君爱新觉罗·弘历。,电视剧台词,流潋紫,《如懿传》
2,“额娘最心疼的人，是乌拉那拉如懿，是爱新觉罗永琪。可额娘不得不明白告诉你，我与你皇额娘在一起的时日更长更久更贴近。我们之间的信任，无人可以动摇。”,电视剧台词,流潋紫,《如懿传》
3,“这个懿字极好 壹次心 壹次心一动”,电视剧台词,流潋紫,《如懿传》
4,“本宫是皇上亲封的贵妃”,电视剧台词,流潋紫,《如懿传》
5,璎珞: 你做了什么,电视剧台词,周末,《延禧攻略》
6,这儿，是紫禁城，行走坐卧都要讲规矩，容不得你们放肆,电视剧台词,周末,《延禧攻略》
7,凡是标榜自己，抬高自己，吹嘘自己的人啊，别犹豫，狠狠地啐上一口。,电视剧台词,周末,《延禧攻略》
8,打蛇得打七寸，想要报复一个人，最好的办法，就是夺走她最想要的东西。,电视剧台词,周末,《延禧攻略》
9,我上中学的时候，有一个同学在厕所里边偷偷地抽烟。正这时候教导主任进来了，问他你在干嘛呢？他实在是憋不住了，鼻子里边冒出两股青烟，镇定地说：我在生气。,电视剧台词,李潇,《恋爱先生》
10,朋友圈是毁掉一切可能的开端,电视剧台词,李潇,《恋爱先生》
11,挂相的坏人好认，伪装的变态难防,电视剧台词,李潇,《恋爱先生》
12,在婚姻里最不应该索取的就是保证,电视剧台词,李潇,《恋爱先生》
13,只看现在不看将来，将来你看不见你看它干什么...及时行乐,电视剧台词,李潇,《恋爱先生》
14,爱情这个词，绝对不是虚幻的、精神的，而是客观的、物质的，是一系列化学反应的结果。,电视剧台词,李潇,《恋爱先生》
15,凡是无功而返的感情，碰都不要碰，不要把自己活成别人用来炫耀的笑柄。,电视剧台词,李潇,《恋爱先生》
16,纵横一局棋落五洲，广袖藏纳万千谋。,电视剧台词,天下归元,《扶摇》
17,檐飞，鸿鹄心，破霄难藏；,电视剧台词,天下归元,《扶摇》
18,你生来 就背负重重枷锁去抗争 才有涅槃重生的希望,电视剧台词,天下归元,《扶摇》
