,text,tag,author,from_book
0,我可以杀光天下所有的人，但唯独不会对你动手。,痴情,老猪,《紫川》
1,这世上有了她，他眼中便只有她，这世上若无她，他便一无所有。,痴情,饶俊,《醉玲珑》
2,我夜天湛只要对你说过的话，就一定会做到，无论结果如何，我都会去做。这一生只要你想要的，我便给你，今天你要的，我答应你。,痴情,饶俊,《醉玲珑》
3,你就像是我丢失的那一部分，将另外一个我从很远的地方带来了，如果这世上所有的东西只能选一样，我宁肯要你的笑。,痴情,饶俊,《醉玲珑》
4,我想让你知道我依然能看到你。这种生活，这个世界，非常不可思议，但仅仅是因为和你在一起，这种生活才称得上奇妙。,痴情,克莱儿·麦克福尔,《摆渡人》
5,他穿越生死之间的帷幕，来到人世间只是为了和她在一起。,痴情,克莱儿·麦克福尔,《摆渡人》
6,你有没有遇到这样的人——不管多久，会一直等你的人。,痴情,克莱儿·麦克福尔,《摆渡人》
7,为了他，她曾经穿越过一次荒原，如果有必要，她还可以再来一次。,痴情,克莱儿·麦克福尔,《摆渡人》
8,顾影自怜，无助而自甘堕落的惆怅与迷惘，明知不能再爱下去，可已经越陷越深，拔不出来了，也挣脱不了了。,痴情,白槿湖,《如果巴黎不快乐》
9,如影随形，以为忘得掉，却没能做到。,痴情,白槿湖,《如果巴黎不快乐》
10,我宁可失去他，也不要与别人分享他。,痴情,白槿湖,《如果巴黎不快乐》
11,在爱情里面，有多少的痴情女人前仆后继，智商几乎为零，为爱死为爱生，为爱战斗，连自己都不敢相信自己原来可以为一个人连性命和生存都可以不顾。,痴情,白槿湖,《如果巴黎不快乐》
12,我输了一盘，因为我只想赢一个你。,痴情,白槿湖,《如果巴黎不快乐》
13,那一霎那，天荒地老。,痴情,白槿湖,《如果巴黎不快乐》
14,如果没有你，就算再快乐也不会有多快乐了！,痴情,白槿湖,《如果巴黎不快乐》
15,你尽管貌美如花，我为你打天下。,痴情,白槿湖,《如果巴黎不快乐》
