,text,tag,author,from_book
0,两个人没有说破的，是罗茜的“不甘心”和孟云的“不够爱”。任何长久的暧昧、知心、蓝颜红颜却不能在一起的理由，不过是一个人的不够爱和一个人的不甘心吧。矫情的人会说，很多人因为真的害怕失去，所以以朋友的名义爱着。而其实，不过是因为，还少了点什么。,矫情,田羽生,《前任攻略》
1,忧伤是一张矫情的脸，面目可憎。既然选择活着，就必定有所承担。 那些无所谓的情绪，怎么有资格出席生命的狂欢？,矫情,田维,《花田半亩》
2,曾有人送过她一个雪人，里面藏着一颗心，说他就算化成灰烬，爱她的心还在。,矫情,麦九,《我终于失去了你》
3,是的，多年以前，我的矫情我的浪漫我的天时地利，到了今天，已经统统过期，当年陪在我身边的那个人，也早已选择了中途退票离席，余生漫漫，许诺无果，只求珍惜当下。,矫情,鲍鲸鲸,《失恋33天》
4,是的，多年以前，我的矫情我的浪漫我的天时地利，到了今天，已经统统过期，更关键的是，当年陪在我身边的那个人，居然选择了中途退票离席。,矫情,鲍鲸鲸,《失恋33天》
5,香水味道进到我的身体，那是幽幽的凭吊往事的一柱香。,矫情,张悦然,《佚名》
6,双目炯炯有神，含威不怒，脸上荡着笑，却不使人觉得亲切，英语说得极好，一看便是个精明能干的女人，只是还不到炉火纯青，迎接人的方式，显得造作矫情。,矫情,三毛,《温柔的夜》
7,你若优雅，我可以矫情一点，你若出众，我可以烂漫一点。我是一个喜欢流泪的男孩，往后余生，只希望更多的泪水因你的感动而引起；我更是一个时常微笑的男孩，你那善解人意的回眸，足以胜过人间天堂。,矫情,,
8,感情这种事是说多了被别人说是炒作，说少了又被认为是矫情。,矫情,倪妮,《佚名》
9,不要太过矫情，不要喊累，幸福就是用智慧和汗水换来的！,矫情,,
10,我在台上干喷一个半小时，没有一个人离场的，您这当老总的也做不到，知道为什么吗？我演讲里说的很多事，都是编的，抄的，但是向上的精神力量那都是真实的，每一个字，都是发自内心的，不矫情，更关键的是，我和他们的内心是相通的。,矫情,姜伟,《猎场》
11,为了不伤心，我不能和任何人成为朋友，听着有些矫情是吧?,矫情,南派三叔,《盗墓笔记》
12,安逸、享受和休养是为怯懦的人们准备的。,矫情,塞万提斯,《唐·吉诃德》
13,如果过年你看到我脸色不好，别想太多，就是你忘给红包了。,矫情,佚名,《佚名》
14,你感动天感动地，只是感动了你自己。感动不是爱。,矫情,佚名,《佚名》
15,我们得摆脱世故的矫情，让自己再当一次孩子。,矫情,乔斯坦·贾德,《苏菲的世界》
16,宝宝......吓到吃手手,矫情,林孝谦,《比悲伤更悲伤的故事》
