,text,tag,author,from_book
0,所有公认的著名的发明家都有一些有本领的前人和后入，而且他们是在社会有可能使用他们的成果的时候对原来的发明做出改进的。,科学,贾雷德·戴蒙德,《枪炮、病菌与钢铁》
1,马丁·里斯认为，有许多个宇宙，很可能是无数个，每个都有不同的特性，不同的组合，我们只是生活在一个其组合的方式恰好适于我们存在的宇宙里。,科学,比尔·布莱森,《万物简史》
2,科学的知性形式是向一切人提供的，为一切人铺平了通往科学的道路。,科学,黑格尔,《精神现象学》
3,科学是没有国界的，因为它是属于全人类的财富，是照亮世界的火把，但科学家是属于国家的。,科学,巴斯德,《佚名》
4,科学的进步取决于科学家的劳动和他们的发明的价值。,科学,巴斯德,《佚名》
5,我像一个没经验的登山者，筋疲力尽地攀上了一个自以为无人到过的高度，但环顾四周时却看到了前人留下来的帐篷和他们继续向上延伸的脚印。,科学,刘慈欣,《球状闪电》
6,“您是说，雷球打不中目标是因我们没看它？”中校难以置信地问。,科学,刘慈欣,《球状闪电》
7,“所有死于球状闪电的人，都处于量子态，严格地说他们并没有真正死去，他们都是薛定谔的猫，在不确定中同时处于生和死两种状态。”丁仪站起身来踱到窗前，看着外面浓重的夜色，“对于他们，生存还是死亡，确实是个问题。”,科学,刘慈欣,《球状闪电》
8,在大自然中，异常往往是正常的另一种表现形式。,科学,刘慈欣,《球状闪电》
9,“……现代物理学所描述的宇宙图像:宇宙是几何的而不是物理的。”,科学,刘慈欣,《球状闪电》
10,一个是质子，一个是中子，西瓜那么大的质子和中子。我首先把质子切开，它的电荷流到茶几上，黏黏的，发出一股清香；中子让我切成两半后，里面的夸克叮叮当当地滚了出来，都有核桃大小，五颜六色的，在茶几上滚来滚去，有的还滚到了地上。我拾起一个白色的，很硬，但使劲一咬还是咬开了，是马奶提子的美味……,科学,刘慈欣,《球状闪电》
11,不应试图“产生”它，而应去“找到”它。,科学,刘慈欣,《球状闪电》
12,科学的惟一目的是减轻人类生存的苦难，科学家应为大多数人着想。,科学,伽利略,《佚名》
13,不管过去还是现在，科学都是对一切可能的事物的观察。所谓先见之明，是对即将出现的事物的认识，而这认识要有一个过程。,科学,《佚名》,
14,我认为自己体验到最大快乐的时期是初进大学时，因为科学对我来说是新奇的，而且它总是逻辑完备，无懈可击，这是这个平凡的尘世上罕见的东西。与此同时，也得以了解先辈科学家的杰出智力。这就如和一位高明的棋手下棋，虽然自己总被击败，但也有机会领略妙招。,科学,王小波,《沉默的大多数》
15,外部世界也许真的是一种类似于量子态的东西，不观察就不存在。,科学,刘慈欣,《黑暗森林》
16,如果我做错了什么，对不起。,科学,刘慈欣,《黑暗森林》
17,通过忠实地映射宇宙来隐藏自我，是融入永恒的唯一途径。,科学,刘慈欣,《黑暗森林》
18,“一个微观粒子，内部的结构能复杂到什么程度？”,科学,刘慈欣,《三体》
19,遥远的距离使星星隐去了复杂的个体结构，星空只是空间中点的集合，呈现出清晰的数学构形。,科学,刘慈欣,《三体》
20,不要把海军与太空的距离想得那么远，为什么是宇宙飞船而不是宇宙飞机呢？为什么是太空舰队而不是太空机群呢？在人们的思想中，太空和海洋早就有联系了。,科学,刘慈欣,《三体》
21,太阳系人类真的很可怜，直到最后，大多数人也只是在那一小块时空中生活过，就像公元世纪那些一辈子都没走出过山村的老人，宇宙对他们仍然是个谜。,科学,刘慈欣,《三体》
22,简单地说，就是试图用简单的方法找出科学的局限性，试图确定科学对自然界的认知，在精度和深度上是否存在着一条底线，而底线之下是科学进入不了的，现代物理学的发展似乎隐隐约约的触到了这条底线,科学,刘慈欣,《三体》
23,物理的尽头是数学，数学的尽头是哲学，哲学的尽头是神学。,科学,刘慈欣,《三体》
24,复杂的宇宙万物其实是由最简单的单元构成的。,科学,刘慈欣,《三体》
25,伟大的三体舰队已经启航，目标是太阳系，将在四百五十年后到达。,科学,刘慈欣,《三体》
26,人死了还会有别人，但思想乱了，科学就完了。,科学,刘慈欣,《三体》
27,科学研究是一个跳跃前进的过程，长时间的量变积累才能产生质变，理论和技术突破大都是在集中爆发的。,科学,刘慈欣,《三体》
28,我们的科学知识海边拾贝的孩子，真理的大海可能还没有见到。所以，我们在自己的科学和理性指导下看到的事实未必是真正的客观的事实，既然如此，我们就应该学会有选择地忽略它，我们应该看到事物在发展变化中，不能用技术决定论和机械唯物论把未来一步看死。,科学,刘慈欣,《三体》
29,那些上岸的鱼再也不是鱼了,科学,刘慈欣,《三体》
30,给她讲一个公式，别的孩子会说“这公式真巧妙”之类的，她则会说这些公式真好看、真漂亮，那神情就像她看到一朵漂亮的野花一样。她父亲留下了一堆唱片，她听来听去，最后选择了一张巴赫的反复听，那是最不可能令孩子，特别是女孩子入迷的音乐里。开始我以为她是随意为之，但问她感受时，这孩子说：她看到一个巨人在大地上搭一座好大好复杂的房子，巨人一点一点地搭着，乐曲完了，大房子也就搭完了……,科学,刘慈欣,《三体》
31,“科学边界”试图开辟一条新的思维途径，用科学的方法找出科学的局限性，确定科学对自然界的认知在深度和精度上是否存在一条底线——底线之下是科学进入不了的。,科学,刘慈欣,《三体》
32,记得大三的一次信息课中，教授挂出了两幅大图片，一幅是画面庞杂精细的《清明上河图》，另一幅是一张空旷的天空照片，空荡荡的蓝天上只有一缕似有似无的白云。教授问这两幅画中哪一幅所包含的信息量更大，答案是后者要比前者大一至两个数量级！,科学,刘慈欣,《三体》
33,“应该庆祝一下，我们发现了一个伟大的定律：物理规律在时间和空间上是均匀的。人类历史上的所有物理学理论，从阿基米德原理到弦论，以至人类迄今为止的一切科学发现和思想成果，都是这个伟大定律的副产品，与我们相比，爱因斯坦和霍金才真是搞应用的俗人。”,科学,刘慈欣,《三体》
34,苍茫宇宙，几多璀璨，几多虚无。我们，就像是黑夜中的一群蚂蚁，遥望着远处的灯光，以为那就是这世间最伟大的存在。,科学,刘慈欣,《三体》
35,如果宇宙是一个人，就意味着他没有一个神经信号能够传遍全身，他的大脑不知道四肢的存在，四肢不知道大脑的存在，同时每个肢体也不知道其他肢体的存在，他不是截瘫病人是什么？,科学,刘慈欣,《三体》
36,因为光速，已知宇宙的尺度是160亿光年，还在膨胀中，可光速却只有每秒30万千米，慢的要命。,科学,刘慈欣,《三体》
37,在漫长的科学发展史上，物理学家门用加速器撞击过多少质子？又撞击过多少中子和电子？每一次撞击，对那个微观宇宙中的智慧或文明都可能是毁灭性的。……您不会为此多愁善感起来吧？,科学,刘慈欣,《三体》
