,text,tag,author,from_book
0,经济参与者受利己心所驱动，而市场上这只看不见的手指引这种利己心去促进总体的经济福利。,经济,亚当·斯密,《国富论》
1,所谓商业之美，就其本质而言，是人们对自然与物质的一种敬畏，并在这一敬畏之上，以自己的匠心为供奉，投注一生。,经济,吴晓波,《把生命浪费在美好的事物上》
2,在江浙一带，你如果骑着自行车从这个村到另外一个村，而后座的筐里装了三只以上的鸡鸭，如被发现的话，就算是投机倒把，要被抓去批斗，甚至坐牢。,经济,吴晓波,《激荡三十年》
3,专制带来效率，垄断产生效益。,经济,吴晓波,《激荡三十年》
4,进入一个行业，专业化，然后全球化，这才是赚钱的唯一途径。,经济,吴晓波,《激荡三十年》
5,这些没有包括在GDP中的东西有时会引起一些似是而非的结果。例如，当Karen为Dong给她修剪草坪而进行支付时，这种交易是GDP的一部分。如果Karen与Dong结婚，情况就变了。尽管Dong仍然会为Karen修剪草坪，但修剪草坪的价值就不属于GDP了，因为Dong的服务不再在市场上出售。因此，如果Karen和Dong结婚了，GDP就减少了。,经济,格里高利·曼昆,《经济学原理》
6,毫不奇怪，高收入者享有较高的生活水平——更好的住房、更好的医疗、更豪华的汽车、更充分的休假，等等。,经济,格里高利·曼昆,《经济学原理》
7,贸易可以使每个人的状况都变得更好,经济,格里高利·曼昆,《经济学原理》
8,经济波动是无规律的且不可预测的。,经济,格里高利·曼昆,《经济学原理》
9,小小的红色根据地是越来越不足以击退它所受到的全部军事和经济压力了。为了要维持这次战役中所进行的一年惊人的抵抗，尽管红军否认，但我怀疑对农民想必进行了相当程度的剥削。但是同时必须记住，红军的战士大多数都是新分了土地和获得了选举权的农民。中国的农民仅仅为了土地，大多数也是愿意拼死作战的。江西的人民知道，国民党的卷土重来意味着土地回到地主的手中。,经济,埃德加·斯诺,《红星照耀中国》
10,从经济上说，中国当然不是统一的。但是中国经济的不平衡发展，在对经济高度集中的日本抗战的时候，也是有利的。譬如将上海跟中国其他部分隔绝，对于中国并不像将纽约跟美国其他部分隔绝这样的为害严重。并且，日本要使全中国陷入孤立是不可能的。日本从大陆的观点来看，仍是一个海国，它就不能封锁中国的西北、西南和西部。,经济,埃德加·斯诺,《红星照耀中国》
11,现代社会的本质根据（支柱）有二：1.资本 ，2.现代形而上学,经济,马克思,《资本论》
12,资本主义（Capitalism）是资本属于个人所拥有的经济制度，以私有制为基础。私有制是资本主义最主要的内容，没有私有制就不能称为资本主义。,经济,马克思,《资本论》
13,资本是不管劳动力的寿命长短的。它惟一关心的是在一个工作日内最大限度地使用劳动力。它靠缩短劳动力的寿命来达到这一目的，正像贪得无厌的农场主靠掠夺土地肥力来提高收获量一样。,经济,马克思,《资本论》
14,这个铸币经过检验，重量成色完全合格，但告诉我，你钱袋里有吗？,经济,马克思,《资本论》
15,价值是不差别的人类劳动力，是使用价值的内容，而使用价值其只能算是外部体现，或是只充当销售手段。,经济,马克思,《资本论》
16,商品交换是一种使用价值的一定量换另一种使用价值的一定量。,经济,马克思,《资本论》
17,资本是没有办法才从事物质生产这种倒霉的事情，它也不愿意去从事物质生产，它总希望有更快、更轻松的赚钱手段,经济,马克思,《资本论》
18,金银天然不是货币，但货币天然是金银。,经济,马克思,《资本论》
