,text,tag,author,from_book
0,我希望有一个如你一般的人，如山间清爽的风，如古城温暖的光。从清晨到夜晚，由山野到书房。只要最后是你，就好。,结婚宣言,张嘉佳,《从你的全世界路过》
1,“两姓联姻，一堂缔约，良缘永结，匹配同称。看此日桃花灼灼，宜室宜家，卜他年瓜瓞绵绵，尔昌尔炽。谨以白头之约，书向鸿笺，好将红叶之盟，载明鸳谱。此证。,结婚宣言,佚名,
2,这个矮子决定让我带她去看全世界；这个傻子该不会把我弄丢吧。,结婚宣言,佚名,《佚名》
3,右边这女子/左边这男子 眼光真好,结婚宣言,佚名,《佚名》
4,今天想说去取个东西，结果就娶了个她。,结婚宣言,佚名,《佚名》
5,从今以后，我的人生口号是：爱老婆/老公，挣钱，游天下。,结婚宣言,佚名,《佚名》
6,做个俗人，承蒙厚爱,结婚宣言,佚名,《佚名》
7,爸，你养的花被人连花带盆端走了。抱歉了妈妈，我还是嫁的出去的！,结婚宣言,佚名,《佚名》
8,第一次做人家老婆，有时候做的不好的地方，就按照我的来。谢谢,结婚宣言,佚名,《佚名》
9,我们一起白头，谁都不许偷偷去焗油。,结婚宣言,佚名,《佚名》
10,好好生活，慢慢爱你。不早不晚，刚好是你。,结婚宣言,佚名,《佚名》
11,十年前的喜欢你，十年后的我愿意。,结婚宣言,佚名,《佚名》
12,考了一本证，这证考了*年，是我时间花的最多但却最荣幸的了。,结婚宣言,佚名,《佚名》
13,恭喜你成为了我的第一合法继承人。,结婚宣言,佚名,《佚名》
14,永远屈服于温柔，而你是温柔本身！,结婚宣言,佚名,《佚名》
15,谈恋爱挺麻烦的，以后就麻烦你了。,结婚宣言,佚名,《佚名》
16,本人从今天开始直立行走，不再是狗。,结婚宣言,佚名,《佚名》
17,图他年纪大，图他不洗澡。,结婚宣言,佚名,《佚名》
18,这个星球偶尔脆弱，而我也偶尔想与你沉没。,结婚宣言,佚名,《佚名》
19,直到遇到你，我做好了所有的打算，好的是余生都是你，坏的回忆都是你。,结婚宣言,佚名,《佚名》
20,以后你的瓶盖都是我来拧。,结婚宣言,佚名,《佚名》
21,星河滚滚你是人间理想。,结婚宣言,佚名,《佚名》
22,诺，就是下面那个小傻子打破了我孤独终老的计划。,结婚宣言,佚名,《佚名》
23,月亮被嚼碎了变成星星，你就藏在那漫天星光里。,结婚宣言,佚名,《佚名》
24,我在贩卖日落，你像神明一样慷慨的，将光撤向我，从此人家被点亮。,结婚宣言,佚名,《佚名》
25,全世界的大人，一个人的小朋友。,结婚宣言,佚名,《佚名》
26,大家好，这是我的第二杯半价。,结婚宣言,佚名,《佚名》
27,柠檬从此变甜了！,结婚宣言,佚名,《佚名》
28,听闻先生治家有方，余生愿闻其详！,结婚宣言,佚名,《佚名》
29,他和夏天一起来了。,结婚宣言,佚名,《佚名》
