,text,tag,author,from_book
0,这一路上走走停停，顺着少年飘流的痕迹！,绝妙,宫崎骏,《起风了》
1,谁看见过风？我和你，都不曾看见过。但是当树叶颤动之时，就代表风正吹拂而过。风啊，请展开羽翼，将它送达你的身边。,绝妙,宫崎骏,《起风了》
2,风起，万物生。,绝妙,堀辰雄,《起风了》
3,‌你不知道你，你才是你。你知道你，你就不是你了。,绝妙,豆豆,《天道》
4,我们这好了人有种绝妙的本们的以，可以对一切们的以物习以为只可到就。,绝妙,阿瑟·高顿,《艺伎回忆录》
5,契丹北境有跳兔，形皆兔也，但前足才寸许，后足几一尺。行则用后足跳，一跃数尺，止则蹶然扑地。,绝妙,沈括,《梦溪笔谈》
6,海物有车渠，蛤属也，大者如箕，背有渠垄，如蚶壳，故以为器，致如白玉。生南海。,绝妙,沈括,《梦溪笔谈》
7,伊人何处？总在寒冷清秋。,绝妙,张恨水,《金粉世家》
8,不知从何时起，街上有了日渐增多的乞丐，人瘦毛长，脸小眼大，穿着各色不合脚的鞋子，给街市上增添了一道道对锅灶有强大吞吸力的目光。,绝妙,韩少功,《马桥词典》
9,世人都道神仙好，只有娇妻忘不了，君在日日说恩爱，君死又随人去了。好了好了，好便是了，不好便不了。,绝妙,路翎,《财主底儿女们》
10,茂密的庄稼，明亮的小河，黄色的泥屋，矗立的电杆，全闪电似的在凭倚车窗的乘客眼前闪了过去。,绝妙,杨沫,《青春之歌》
11,玉轮悄悄地移向了南边，清冷的海风悄悄吹拂着她的短发，也渐渐吹醒了她昏热的脑筋。,绝妙,杨沫,《青春之歌》
12,有钱要有七个字:奸、滑、刻薄、结实、狠。,绝妙,周立波,《暴风骤雨》
13,我们的今日，我们的欢歌，不是不醒的梦，却恰是不愿睡去的狂欢。,绝妙,田维,《花田半亩》
14,新月如弓，残月如弓，上弦弓，下弦弓。（成思悦）,绝妙,桩桩,《蔓蔓青萝》
15,我写“我”，真是一个绝妙的题目，但是，我的文章却不一定妙，甚至很不妙。,绝妙,季羡林,《季羡林文集》
16,一个男人和一位女士，由于某种精神状态，丧失了时间感。显然，用电影可以绝妙地表现一个人若丧失时间感会怎么样。,绝妙,多丽丝·莱辛,《金色笔记》
17,我生活在妙不可言的等待中，等待随便哪种未来。,绝妙,安德烈·纪德,《人间食粮》
18,体育竞赛之最绝妙处乃由于它只在手做，不在口说。,绝妙,赫尔巴特,《普通教育学》
19,万壑树参天，千山响杜鹃。,绝妙,王维,
20,“我没让她笑啊？可那笑容已经留在记忆中，像冰上的水渍，永远擦不掉了。”,绝妙,刘慈欣,《三体》
21,分母那么浩瀚，分子那么微弱。唯一就等于没有。,绝妙,张嘉佳,《从你的全世界路过》
22,宇宙还挺谦虚，明明拥有一切，却叫太空。 ​​​​,绝妙,《微博》,
23,我住在你丢掉的那首歌里面，怀抱所有音符，我睡在你丢掉的那本书里面，封面封底夹着我所有的白昼与黑夜。,绝妙,张嘉佳,《从你的全世界路过》
24,礼貌是聪明人想出来的与蠢人保持距离的一种策略，我从来不犯错误,绝妙,陈彤,《精英律师》
25,天平永远是倾斜的。如果你不觉得，说明天平偏向你。,绝妙,迈克尔·克莱顿,《西部世界》
26,小姐心态，寡妇待遇，妇联追求。,绝妙,周智勇,《中国合伙人》
27,船在长江上走，两岸风景逼人而来简直是一场美的夹杀。,绝妙,张晓风,《星星都已经到齐了》
28,原来地球恰似一侧媚的女子，绝不肯直瞪着看太阳，她只用眼角余光斜斜一扫，便享尽太阳的恩宠。,绝妙,张晓风,《星星都已经到齐了》
29,纹路其实就是不舍，就是往返迂回，徘徊缱绻，就是把简单直截的线条说成了曲折动听的故事。,绝妙,张晓风,《星星都已经到齐了》
30,梦像老狗，把我们不知遗忘何方的东西扒了出来。衔着，放在我们脚前，然后悄悄地，一声不响地走开。,绝妙,张晓风,《星星都已经到齐了》
31,忧郁的笑容含有无比的魅力。,绝妙,列夫·托尔斯泰,《战争与和平》
32,仔细想想，人最大的本事好像是伤害自己。,绝妙,南派三叔,《盗墓笔记》
33,七贤、四皓、五老之处，三笑、寒拾之契，皆为志同道合之友。西行近寂然，兼好交顿阿，此乃风雅相通之故也。东野深川八子，皆贫类。我等亦学老杜“贫交”之句，不忘管鲍之相与也。,绝妙,松尾芭蕉,《松尾芭蕉散文》
34,愤怒之所以令人上瘾，大约是因为愤怒是通向正义感的捷径。人是需要自我认同的，换个现在流行的说法，人是需要“存在感”的，而正义的自我认识是这种“存在感”的要素之一。,绝妙,刘瑜,《观念的水位》
