,text,tag,author,from_book
0,有时现实与自己想象的生活和事业之间存在巨大差距。这一差距会压得人喘不过气几乎令人绝望，人们往往只能看到成功的光环或者失败的黯淡却忽视那些可能彻底改变人生轨迹的转折点，可正是这些转折点，我们才学到了事业和人生中最重要的经验和教训。,绝望,苏世民,《苏世民：我的经验与教训》
1,这就是爱么？,绝望,雷米,《心理罪》
2,人在安逸得志时永远也不会满足，唯有山穷水尽，体会到无尽的绝望，才会明白简单平淡的活着就是一种幸福。,绝望,辰东,《遮天》
3,那些可怕的动荡，过于轻易的绝望和被伤害。这遗书与所有令人难过的往事一起不知下落，而我也从未再想追寻。我只是觉得何其幸运，在这样的插曲中，死去的只是我的另一面。,绝望,七堇年,《尘曲》
4,人们绝望的缘由，从来没有新颖的动机。终极的失落，是人类原罪的原罪。哈罗德·布鲁姆说，心灵的自我对话本质上不是一种社会现实，西方经典的全部意义在于使人善用自己的孤独，这一孤独的最终形式是一个人和自己的死亡相遇。,绝望,七堇年,《尘曲》
5,有一个绝望的母亲，真可说是我的幸运，绝望是那么彻底，向往生活的幸福尽管那么强烈，也不可能完全分散她的这种绝望。,绝望,杜拉斯,《情人》
6,可是人生所赐予的希望和绝望便是 时光总是不断流逝 万事瞬间即逝 幸福唯有片刻 之后等待着的又将是怎样的瞬间 却无人知晓,绝望,朴智恩,《蓝色大海的传说》
7,生活本来就不团圆，故事就不要再破碎了。就仿佛是记忆，当时在苦涩，只要这页翻过去，回想起来，总能咂摸出一点甜味。这是我们的本能，让我们坚信美好多过丑恶，希望多过绝望，所以才有理由大踏步走下去，一直一直不停留。,绝望,李木戈,《暗恋橘生淮南》
8,橘生淮南则为橘，生于淮北则为枳，所以你的土地永远长不出我期盼的果实，我的暗恋也永远开不出你想要的的花朵。,绝望,李木戈,《暗恋橘生淮南》
9,开始的开始总是甜蜜的。大enxue.后来就有了厌倦、习惯、背弃、寂寞、绝望和冷笑。曾经渴望与一个人长相厮守，后来，多么庆幸自己离开了。曾几何时，在一段短暂的时光里，我们以为自己深深的爱着的一个人，后来，我们才知道，那不是爱，那只是对自己说谎。,绝望,白槿湖,《如果巴黎不快乐》
10,每个人心里都有些事儿，美好或甜蜜，残酷或绝望，但也会有一些这辈子都不愿再提及，就像一颗种子埋在心里，它只能往下生长，时间越久扎得越深，等你再想拽出来的时候，它已经和心长在一起了，只要轻轻碰触，就会钻心地疼痛。,绝望,关东野客,《我有一杯酒，可以慰风尘》
11,我的特征是,绝望,辛波斯卡,《辛波斯卡诗选：万物静默如谜》
12,人生是绝望的，只不过在绝望中加一点希望，变得更加绝望。,绝望,简·奥斯汀,《理智与情感》
13,他是美国的先知，,绝望,威廉·曼彻斯特,《光荣与梦想》
14,每次当我转头，谁在灯火阑珊处？我的头已转得酸软，为值得的人也回过首，为不值的人亦回过首。,绝望,亦舒,《喜宝》
15,盐商苦着一张脸，多掏出了几枚铜板，往他怀里塞，有一种败局已定的绝望。,绝望,韩少功,《马桥词典》
16,时间，像一位生活的医生，它能使心灵的伤口愈合，使绝望的痛楚消减，使某些不可抵御的感情沉寂、默然。,绝望,古华,《芙蓉镇》
17,我们都有绝望的时候，当我们熬过去的时候，就会发现自己到底有多强大！,绝望,马克·切利,《绝望的主妇》
18,是的，新的一天的到来，总是伴随着一系列的谎言，其中最糟糕的是那些自己用来骗自己的。在入睡之前，我们告诉自己，我们很快乐，或者他很快乐；我们可以改变，或者他会改变。我们说服自己带着罪恶继续生活，或者我们没有他也一样可以生活。是的，每天晚上在我们入睡之前，我们对自己说谎，近乎绝望、绝望地希望着。,绝望,马克·切利,《绝望的主妇》
19,"We all have moments of desperation. If we can face them and head-on, that's when we'd find out how strong we really on.",绝望,马克·切利,《绝望的主妇》
20,无望的爱情怎么样都是绝望。,绝望,奥尔罕·帕慕克,《我的名字叫红》
21,有时候我们一个星期又一个星期，一年又一年地抱着幻想，以为想的很有逻辑，直到有一天看见某样东西，一张脸，一件衣服，一个快乐的人，然后徒然明白了，我们的梦想永远不可能实现。,绝望,奥尔罕·帕慕克,《我的名字叫红》
22,在这种情况下，理智的人会立刻明白，无望的爱情怎么样都是绝望，他们会在明白了心中那条非理性的界线后，快刀斩乱麻，礼貌地宣布：“他们认为我们门不当户不对。”我们也是这么做的 。,绝望,奥尔罕·帕慕克,《我的名字叫红》
