,text,tag,author,from_book
0,你只有三天时间，别辜负我们的信任。,警告,路阳,《刺杀小说家》
1,我们都很珍贵，不要走着走着，就丢掉了自己。,警告,李芳芳,《无问西东》
2,点子（一）,警告,辛波斯卡,《给所有昨日的诗》
3,坦白说，对卡瓦达这种忽而冷、忽而热，阴晴不定的德行，我有股说不上来的难受劲儿。有时候他像个任人摆布的奴仆，有时候又是个威风八面的长官；一转眼，他可以阴起张臭脸来恐吓你、警告你，片刻之后他似乎已然忘却一切，变成一个贪玩好耍的孩子。,警告,张大春,《四喜忧国》
4,Valar morghulis,警告,乔治·马丁,《权力的游戏》
5,这就是我曾经生活过的街道，这曾是我与其分享生活的人们。从他们搬来的那一天起我们就认识了。我看到了他们所带来的对未来的美好憧憬，对更好的生活的向往，不仅仅为他们自己，还有为了他们的孩子。如果可能的话，我应该告诉他们在前方等待着的是什么吗？我应该警告他们将至的悲伤与背叛吗？不。在我所处于的位置，我自然能明白路应该如何走。秘诀就是一直向前行，放下恐惧和遗憾，因为它们会让我们放慢脚步，阻碍我们享受这转瞬即逝的旅程。是的，前方有无法预料的转折，令人措手不及的惊讶，但是，生活的意思不正在于此吗？,警告,马克·切利,《绝望的主妇》
6,舍近谋远者，劳而无功。,警告,范晔,《后汉书》
7,你的选择并没有错，只是你选择的方式错了！,警告,天蚕土豆,《斗破苍穹》
8,去年冬天长湿疹被我抓破了腿上全是疤，朋友看到问怎么回事，我看F君一眼，可怜巴巴地说，因为我不乖，被家暴了。他愣了一下，马上板起脸说，不是警告过你不准说出去吗，回去再打一顿！哈哈哈哈我没忍住笑场了。,警告,乔一,《我不喜欢这世界，我只喜欢你》
9,用语言、事物表扬，用警告、训斥、惩罚及对特殊的个别的过错采用体罚，以有教益的惩罚制度，即“持以坦白的态度，出以诚恳的目的”，使儿童理解这样做是对他有好处的，正如吃苦药治病一样。,警告,夸美纽斯,《大教学论》
10,一个人越懒，明天要做的事越多。,警告,塞缪尔·约翰逊,《诗人传》
11,当社会把你逼到走投无路时，不要忘记你身后还有一条路，那就是犯罪，记住这并不可耻。,警告,马雅可夫斯基,《穿裤子的云》
12,不要返航，这里不是家。——青铜时代号目标甄别官,警告,刘慈欣,《三体》
13,叶文洁打开结果文件，人类第一次读到了来自宇宙中另一个世界的信息。其内容出乎所有人的想象，它是三条重复的警告： 不要回答！ 不要回答！ 不要回答！ 在令她头晕目眩的激动和迷惑中，叶文洁接着译解了第二段信息： 这个世界收到了你们的信息。 我是这个世界的一个和平主义者，我首先收到信息是你们文明的幸运。警告你们：不要回答！不要回答！不要回答！ 你们的方向上有千万颗恒星。只要不回答，这个世界就无法定位发射源。 如果回答，发射源将被定位，你们的行星系将遭到入侵，你们的世界将被占领！ 不要回答！不要回答！不要回答！,警告,刘慈欣,《三体》
14,如果你正在读这个的话，那么这就是对你的警告。你阅读这段话中的每一个字都是没有用的，都在浪费你人生中的每一秒种。你还有别的事情要做吗？现在你的人生空虚到找不出别的事情要干吗？或者说你是否对权威的制造者们十分尊重和信任？你读的东西是不是你所想读的？你所思考的东西是不是你真正想思考的？买的是不是你当初一开始想买的？别宅在家里了，去见见和你不同性别的人。别再疯狂购物。停下你手中的工作，开始属于你自己的人生，证明你自己是一个活生生的人。如果你不能主张你的人性，那么你只能是沧海一粟，默默无闻，看完了吗？你已经被警告了,警告,大卫·芬奇,《搏击俱乐部》
15,不要像水中的牡蛎看太阳，误以为浑水就是稀薄的空气，灵魂与躯体的孰真孰伪需要你理性不断的关照。,警告,梅尔维尔,《白鲸》
16,沧桑,警告,杰克·凯鲁亚克,《在路上》
17,记住：要凭着你的良心做事。,警告,卡洛·科洛迪,《木偶奇遇记》
18,这就是我们所有人最终的结局，有的人死在战场，有的人死在床上，各人命运不同，但都难免一死，你不可能太早懂得这些道理，但这是犯罪的下场，它对你、对我都是一种警告，告诉我们必须保持清醒的头脑，要有节制的生活。,警告,达夫妮·杜穆里埃,《蝴蝶梦》
19,醒来吧，起来吧，否则将永远沉沦。,警告,约翰·弥尔顿,《失乐园》
20,美貌的姑娘！你的父亲对于你应当是一尊神明；你的美貌是他给与的，你就像在他手中捏成的一块蜡像，他可以保全你，也可以毁灭你。,警告,莎士比亚,《仲夏夜之梦》
21,但愿你的耳朵不要从此永远憎恨我的舌头，因为它将要让你听见你有生以来所听到的最惨痛的声音。,警告,莎士比亚,《奥赛罗》
22,收起你们明晃晃的剑，它们沾了露水会生锈的。,警告,莎士比亚,《奥赛罗》
