,text,tag,author,from_book
0,每个人的过去都是一段历史，并不是每段历史都被记下，人也不能一直生活在记忆之中，只有把握住现在，才能让生命变得更有意义！,记忆,何马,《藏地密码》
1,失去的东西才是最珍贵的，淡淡的遗憾总会流连在脑海之中，但有时候刻意去找回来，反而没有记忆中的那么美好。,记忆,玄色,《哑舍》
2,失去的东西才是最珍贵的，淡淡的遗憾总会流连在脑海之中，但有时候刻意去找回来，反而没有记忆中的那么美好。,记忆,玄色,《哑舍》
3,每个人都被不同的记忆所束缚，你会发现，所有的记忆都会一次次地重现，其实，根本就逃避不了。,记忆,雷米,《心理罪》
4,你并不在我的记忆里，而是变成了轻轻的风，陪我去到梦想尽头。,记忆,宫崎骏,《起风了》
5,时光最大的好处，就是为过往披上金色的薄纱。 记忆矫往过正，让我只记得世界和你的美好，紧握双手，胜过千言。,记忆,祝小兔,《时光不老，我们不散》
6,我把心尖的玫瑰刻满你名字，,记忆,祝小兔,《时光不老，我们不散》
7,每次搬家，都不可避免地要放弃一些东西，丢掉一些东西，或者在无意遗失中一些东西。我落泪的原因不在于这些琐碎的物件值多少钱，而在于它们是某些记忆的线索。,记忆,独木舟,《一粒红尘》
8,日子渐渐好起来，我整个人从心念到生活，都终于有了人到中年应有的井然。,记忆,七堇年,《尘曲》
9,你远在我的童年。模糊，淡漠。因为经过了时间的篡改，记忆不再真实。我宁愿相信你不曾存在过。,记忆,七堇年,《尘曲》
10,叶微青，好遥远的三个字，撞击我耳膜，我缓缓地从深渊之底捞拾起一块湿淋淋的记忆，拿在手里端详，噢，叶微青……是有这么一个人，曾经住在我心底。,记忆,七堇年,《尘曲》
11,毕业回家的夜航飞机上，我向舷窗外探望：不知名的城市在黑暗的地表燃烧着星线交织的灯火，织成一张璀璨的巨网，像极了俯瞰火山熔岩喷发——赤红的岩浆撕开地表裂缝，迅速渗透并流动，呈放射状蔓延。我收回俯瞰熔岩之城的目光：一年的日子就这么飞逝而去了。我的记忆乏善可陈，寡淡一杯，寻常年岁。但没有往事，我不成我。,记忆,七堇年,《尘曲》
