,text,tag,author,from_book
0,你的情人头染金发，已经改名麦当娜，你如何送她一阕《一剪梅》。,讽刺,冯唐,《活着活着就老了》
1,如果真不想嫁，就别嫁了。男生是比女生低很多的物种，二逼、傻逼居多。绝经之后，退休之后，和剩下的闺蜜和老男人结成社会主义互助组，一起补钙、饮酒、蛋逼、旅行、泡澡、混吃等死，不知老之将至。,讽刺,冯唐,《活着活着就老了》
2,总而言之，近几年北京街面上的各路男女名人、老少另类如果只有两个共同特点，第一就是都喝不过小翠；第二就是都睡过小翠（或是被小翠睡过）。,讽刺,冯唐,《活着活着就老了》
3,第一次开机的时候，小屋子里一片漆黑，我觉得眼前亮起了一盏水晶宝莲灯。我哥也在，问，能看电影吗？能听音乐吗？还是黑白屏幕，看毛片分不清脸、奶和屁股。,讽刺,冯唐,《活着活着就老了》
4,我们在企业工作就像一颗棋子一样。,讽刺,林君阳,《我们与恶的距离》
5,一个民主法治的国家要靠杀人才可以抚慰人心，保障我们的安全。这个我没有听过，这太荒谬了。,讽刺,林君阳,《我们与恶的距离》
6,这些键盘酸民的意见也太廉价了。,讽刺,林君阳,《我们与恶的距离》
7,花的不是你的钱，你到挺会慷他人之慨。,讽刺,Priest,《山河令》
8,我有必要和一只苍蝇解释与理论吗？直接拍飞就是。,讽刺,辰东,《遮天》
9,高手你这是在俯视我吗？你能不能在优越一点，在高傲一些，然后将另外那半张脸也狠狠地撞向我的手掌。,讽刺,辰东,《遮天》
10,做人不能太段德，做狗不能太黑皇。,讽刺,辰东,《遮天》
11,礼多而不谦，有勇而无义，精于计算而无智。,讽刺,戚继光,《佚名》
12,长一张老脸，名字叫小萌，想死也是应该的。,讽刺,饶晓志,《人潮汹涌》
13,当演员，连群演也演不好。,讽刺,饶晓志,《人潮汹涌》
14,分明是妖，偏要当什么阴阳师。,讽刺,李蔚然,《侍神令》
15,这真是一件很有讽刺味道的事。没受到切肤之痛的人们，往往可以把战争当做很好的谈资，讨论得兴高采烈。但对于那些最有资格谈论的人，那些在前线日夜与魔族厮杀的将士们来说，战争是一场再沉重不过的话题。他们反倒更乐意谈谈家人，谈心爱的女孩，谈家里养的狗，谈谈家乡的小河，什么都谈，就是不谈战争--谁愿意谈自己的死亡和鲜血呢？,讽刺,老猪,《紫川》
16,人应该活得更麻木一点，如此方能感知多一些的生之欢愉。,讽刺,七堇年,《尘曲》
17,这小说是你写的，那你就能改变这个世界啊？,讽刺,路阳,《刺杀小说家》
18,人界在神的管辖下曾是极乐之土。,讽刺,陈思诚,《唐人街探案3》
19,"追求现世的神权,要求自己为自己砌造神坛,自我供奉可人心中的正义才是永远毋庸置疑的神,这种神,它无须加冕、无须仪式,弄虚作假、装神弄鬼在它面前不过是奇技淫巧,根本不值提。一个人的正义是道微光,可微光会吸引微光。",讽刺,陈思诚,《唐人街探案3》
20,栗树荫下，我出卖你，你出卖我。,讽刺,乔治·奥威尔,《一九八四》
21,你知道有种婴儿，生下来没大脑，在他们脑后打灯光，光线自他们的瞳孔通过直射出来。现在人们捧这种缺乏脑子的女郎为“黄金女郎”。,讽刺,亦舒,《喜宝》
22,伙计怎可以与老板争执，穷不与富斗。,讽刺,亦舒,《喜宝》
23,不必道歉，穷人受嫌疑是很应该的。,讽刺,亦舒,《喜宝》
24,书就是这样好，无论心不在焉，板着长脸，只要考试及格，就是一个及格的人。你试着拉长脸到社会去试一试。这是一个卖笑的社会。除非能够找到高贵的职业，而高贵的职业需要高贵的学历支持，高贵的学历需要金钱，始终兜回来。,讽刺,亦舒,《喜宝》
25,这么久以来， 我们一直逃避行尸，却忘了活人的丑恶，他们一向如此丑恶!,讽刺,罗伯特·柯克曼,《行尸走肉》
26,"The good people , they always die .And the bad people do , too . But the weak people , the people like me , we have inherited the earth！",讽刺,罗伯特·柯克曼,《行尸走肉》
27,丧尸是不会灭亡人类的，因为能使人类灭绝的只有他们自己。只有活着的人才是最可怕的。,讽刺,罗伯特·柯克曼,《行尸走肉》
28,你们依靠他还指责他的不完美。,讽刺,罗伯特·柯克曼,《行尸走肉》
29,世上万千生物活过又死去，有的自觉，有的不自觉，但都追求着可笑的长生或永恒。,讽刺,张贤亮,《男人的一半是女人》
30,总统就像旷野上的一棵孤树，风往哪吹，他就往哪倒。,讽刺,迈克尔·道布斯,《纸牌屋》
31,国王陛下，疏于动脑，唯一擅长之事便是妄下结论。陛下一生，最喜欢喃喃自语，和和稀泥。不过，若我们除掉了他，那么多马克杯上又放谁的脸呢？,讽刺,迈克尔·道布斯,《纸牌屋》
32,我讨厌追悼会，言不由衷，虚情假意，言词空洞，话语肤浅。,讽刺,迈克尔·道布斯,《纸牌屋》
33,我不能不觉得，臭味在这里已经不是气体，而是无形的固体，久久地堆积，已凝结定型，甚至有了沉沉的重量。这里的主人肯定蹑手蹑脚，是从来不去搅动这一堆堆酸臭的。,讽刺,韩少功,《马桥词典》
34,求回报的善举只是伪善,讽刺,迈克尔·道布斯,《纸牌屋》
35,三仙姑却和大家不同，虽然已经四十五岁，却偏爱当个老来俏，小鞋上仍要绣花，裤腿上仍要镶边，顶门上的头发脱光了，用黑手帕盖起来，只可惜官粉涂不平脸上的皱纹，看起来好象驴粪蛋上下上了霜。,讽刺,赵树理,《小二黑结婚》
36,二诸葛忌讳“不宜栽种”，三仙姑忌讳“米烂了”。,讽刺,赵树理,《小二黑结婚》
37,三仙姑是后庄于福的老婆，每月初一十五都要顶着红布摇摇摆摆装扮天神。,讽刺,赵树理,《小二黑结婚》
38,二诸葛原来叫刘修德，当年做过生意，抬脚动手都要论一论阴阳八卦，看一看黄道黑道。,讽刺,赵树理,《小二黑结婚》
39,别的大村子都成立了村公所、妇救会、武委会，刘家峧却除了县府派来一个村长以外，谁也不愿意当干部。,讽刺,赵树理,《小二黑结婚》
40,撒谎对你来说不是如呼吸一般自然吗,讽刺,杰克·科比,《复仇者联盟3》
41,毕竟你和肥胖只差一碗饭了。,讽刺,杰克·科比,《复仇者联盟3》
42,女：有房么？有车么？男：你有日本人的技术吗？,讽刺,田羽生,《前任攻略》
43,她在害怕我前任的数量，而我开始担心她前任的质量。,讽刺,田羽生,《前任攻略》
44,你说泡妞吧，无非两种结果，要么走心，要么走肾，这回你走哪？,讽刺,田羽生,《前任攻略》
45,我在英国经常被这类事情所震撼背景平平的人经常表现出极其优秀的教养，让人颇感神秘。,讽刺,比尔·布莱森,《“小不列颠”札记》
46,这种英国人独有的智慧，特别是那种不动声色、挖苦反讽而又轻描淡写的智慧是迪斯尼乐园那些身心健康且严肃得可怕的想象创意师所完全不能理解的。,讽刺,比尔·布莱森,《“小不列颠”札记》
47,当涉及叙述时，大脑似乎是理论家加骗子的最后一个阵地。,讽刺,纳西姆·尼古拉斯·塔勒布,《反脆弱》
48,卡尔马克思发现，要更好地控制一个奴隶，你可以说服他相信他其实是一个雇员。,讽刺,纳西姆·尼古拉斯·塔勒布,《反脆弱》
49,可是你得换把剑，这秦王剑你不能用，你不配,讽刺,孙皓晖,《大秦赋》
