,text,tag,author,from_book
0,读读读，书中自有黄金屋。以书橱为四壁的屋子，再小，也是我的黄金屋了。读过三联出的曹聚仁的书话，文章记不得了，但是记得它的装帧。素白的封面上除了书名，只有一帧小画。画上一书一剑，一灯一碗，画旁行草小诗：捡书烧烛短，看剑引杯长。想到一种境界，一个地方--天堂。,读书,冯唐,《活着活着就老了》
1,读书不只要靠两只有形的眼睛，要用智慧的眼睛去读。,读书,南怀瑾,《论语别裁》
2,养心莫若寡欲，至乐无如读书。,读书,戚继光,《佚名》
3,孩子，不能亲眼看着你茁壮而健康的成长，欣慰的看着你长大成人，手把手的教你练剑、写字和读书，这是你父亲的最大遗憾，也是他的失职。但孩子，不要责怪他。“你的父亲，还有很多的叔叔和伯伯，他们用鲜血和利刃，披荆斩棘，为混乱的世界重新铸造了秩序，带来和平，化剑为犁，为蛮荒带来文明，用繁华取代贫瘠。铁血、牺牲和自我奉献，是我们这代人的天生使命，那些英雄和英雄的故事，在你们的年代将会成为传奇。 “现在，作为父辈的我们，已经完成了我们的使命。我们渐渐老去，而你们将成长，这是造化的规律，无可避免。将来的世界，是属于你们的。你们不必像我们一样，日ì夜不停的战斗，在刀光剑影中前行，父亲高大的脊背，已为你建起了遮挡风雨的屋顶。,读书,老猪,《紫川》
4,紫川秀苦笑着摇头，他蹲下身来，端详着云林英俊而稚气的脸，心潮澎湃：“孩子，不能亲眼看着你茁壮而健康的成长，欣慰的看着你长大成人，手把手的教你练剑、写字和读书，这是你父亲的最大遗憾，也是他的失职。但孩子，不要责怪他。 “你的父亲，还有很多的叔叔和伯伯，他们用鲜血和钢铁，披荆斩棘，为混乱的世界重新铸造了秩序，带来和平，化剑为犁，为蛮荒带来文明，用繁华取代贫瘠。铁血、牺牲和自我奉献，是我们这代人的天生使命，那些英雄和英雄的故事，在你们的年代将会成为传奇。,读书,老猪,《紫川》
5,当初你离家千里，来到这个地方读书，你父亲和我都没有反对过，因为，是我们想你，能享受到人生的乐趣，比如读万卷书行万里路，比如同你喜欢的女孩子结婚生子。注意不是给我增添子孙，而是你自己，能够享受为人父母的乐趣，你一生所要追求的功名利禄，没有什么是你的祖上没经历过的，那些只不过是人生的幻光。我怕，你还没想好怎么过这一生，你的命就没了啊！,读书,李芳芳,《无问西东》
6,小学，甚至初中，没有真正的学业落后，也不存在绝对的成绩优秀，一切都是可逆转的。使情况发生逆转的神奇力量就是课外阅读。,读书,尹建莉,《好妈妈胜过好老师》
7,被“魔杖”点中的孩子能力强。“魔杖”是什么，就是课外阅读。它有一种魔力，不显山不露水地赋予孩子。,读书,尹建莉,《好妈妈胜过好老师》
8,一把相同的种子，洒到地里，有的得到合适的水分和充足的日照，有的既干旱又晒不着太阳，最后差异当然会很大。阅读就是智慧的水分和阳光。想让一个孩子变得更聪明，是多么简单啊，让他去大量阅读吧！书籍就是一根魔杖，会给孩子带来学习上的一种魔力，能让他的智慧晋级。爱读书的孩子，就是被魔杖点中的孩子，他是多么地幸运！,读书,尹建莉,《好妈妈胜过好老师》
9,"如果你想让孩子喜欢课外阅读，就千万不要直接要求他“读书去”,也不要总拿他爱不爱读书这事当话题来聊，更不要用阅读的事来教训他。也绝不可以采用强行关电视的方法来让孩子读书。",读书,尹建莉,《好妈妈胜过好老师》
10,仆人们以为是在北平读书的大小姐回家了，迎上去一看不是，是一个满脸尘土疲惫不堪的女学生。,读书,苏童,《妻妾成群》
11,书籍于大脑，就像磨刀石于宝剑。,读书,乔治·马丁,《权力的游戏》
12,读书可以经历一千种人生，不读书的人只能活一次。,读书,乔治·马丁,《权力的游戏》
13,气质，读书的唯一的用途是增加气质。世上确有气质这回事。,读书,秦雯,《流金岁月》
14,我至今坚持认为人们之所以强迫年轻人读书并以光明的前途诱惑他们，仅仅是为了不让他们到街头闹事。,读书,王朔,《动物凶猛》
15,我感激所处的那个年代，在那个年代学生获得了空前的解放，不必学习那些后来注定要忘掉的无用知识。我很同情现在的学生，他们即便认识到他们是在浪费青春也无计可施。我至今坚持认为人们之所以强迫年轻人读书并以光明的前途诱惑他们仅仅是为了不让他们到街头闹事。,读书,王朔,《动物凶猛》
16,种田人常羡慕读书人，读书人也常羡慕种田人。竹篱瓜架旁的黄梁浊酒和朱门大厦中的山珍海鲜，在旁观者所看出来的滋味都比当局者亲口尝出来的好。,读书,朱光潜,《谈美》
17,你可以厌倦读一本特定的书，但不要厌倦阅读的行为。这样，你所阅读并消化的知识才能快速增长。,读书,纳西姆·尼古拉斯·塔勒布,《反脆弱》
18,胡适那父子就说过：'读书可以忘掉打麻将，打麻将可以忘掉读书。'依我看，读书、打麻将都可以忘掉烦恼。,读书,贾平凹,《废都》
19,一等人忠臣孝子，两件事读书耕田,读书,贾平凹,《愿人生从容》
20,读书，可以增长知识，提升认知，改变气质。,读书,,
21,对于大多数的人而言，要实现卡尔维诺的这一认知进化，绝不是从一次阅读到另外一次阅读的过程，其中，必须加入日常生活的琐碎、磨难和喜悦。,读书,吴晓波,《把生命浪费在美好的事物上》
22,每次到大学做活动，几乎都会被问及一个问题：“您能否为我们推荐一些书？”,读书,吴晓波,《把生命浪费在美好的事物上》
23,读书不是为了应付明天的课，而是出自内心的需要和对知识的渴求。,读书,苏霍姆林斯基,《苏霍姆林斯基教育名言》
24,读书、读书、再读书，教师的教育素养的这个方面正是取决于此。,读书,苏霍姆林斯基,《苏霍姆林斯基教育名言》
25,思考习惯的形成，在决定性的程度上是取决于非必修的阅读的。,读书,苏霍姆林斯基,《苏霍姆林斯基教育名言》
26,课外阅读，用形象的话来说，既是思考的大船借以航行的帆，也是鼓帆前进的风。,读书,苏霍姆林斯基,《苏霍姆林斯基教育名言》
27,你的周围有一个书籍的海洋。应该严格地挑选阅读的书籍和杂志。,读书,苏霍姆林斯基,《苏霍姆林斯基教育名言》
28,要教育学生不仅要读书，而且对某些书要反复地读。,读书,苏霍姆林斯基,《苏霍姆林斯基教育名言》
29,阅读应当成为吸引学生爱好的最重要的发源地。学校应当成为书籍的王国。,读书,苏霍姆林斯基,《苏霍姆林斯基教育名言》
30,做一个有思想的人吧。要善于在读书时思考，在思考时读书。,读书,苏霍姆林斯基,《苏霍姆林斯基教育名言》
31,学生学习越感到困难，他在脑力劳动中遇到的困难越多，他就越需要多阅读。,读书,苏霍姆林斯基,《苏霍姆林斯基教育名言》
32,我认为一个非常重要的教育任务，就在于使读书成为每个孩子最强烈、精神上不可压抑的欲望。,读书,苏霍姆林斯基,《苏霍姆林斯基教育名言》
33,习读书之业，便当知读书之乐；存为善之心，不必邀为善之名。,读书,王永彬,《围炉夜话》
34,世之言乐者，但曰读书乐，田家乐。可知务本业者，其境常安。古之言忧者，必曰天下忧，廊庙忧。可知当大任者，其心良苦。,读书,王永彬,《围炉夜话》
35,为学不外静敬二字，教人先去骄惰二字。,读书,王永彬,《围炉夜话》
36,何谓享福之才，能读书者便是；何谓创家之人，能教子者便是。,读书,王永彬,《围炉夜话》
37,与朋友交游，须将他好处留心学来，方能受益；对圣贤言语，必要我平时照样行去，才算读书。,读书,王永彬,《围炉夜话》
38,想念年少时光。生活中只有上学读书，和即使是无疾而终依旧向往的爱情，在那个被书本和小纸条湮没的时日里，不会因现实的任何残酷而畏惧爱情。我爱你，只因为你是你。,读书,马思纯,《佚名》
39,清贫乃读书人顺境，节俭即种田人丰年。,读书,王永彬,《围炉夜话》
40,"读书之法,在循序而渐进,熟读而精思.",读书,朱熹,
41,"读书有三到,谓心到,眼到,口到.",读书,朱熹,
42,"读书无疑者,须教有疑,有疑者,却要无疑,到这里方是长进.",读书,朱熹,
43,不读书的人，思想就会停止。,读书,狄德罗,《佚名》
44,书籍是最有耐心最能忍耐和最令人愉快的伙伴。在任何艰难困苦的时刻，它都不会抛弃你。,读书,赫尔岑,《佚名》
45,人类的全部生活都依次在书本中留下印记：种族、人群、国家消逝了，书却依然存在。,读书,赫尔岑,《佚名》
46,不去读书就没有真正的教养，同时也不可能有什么鉴别力。,读书,赫尔岑,《佚名》
47,不读书的人就不能算是一个完人。,读书,赫尔岑,《佚名》
48,书读得越多而不加思索，你就会觉得你知道得很多；而当你读书而思考得越多的时候，你就会越清楚地看到，你知道得还很少。,读书,伏尔泰,《佚名》
49,拜读名家大作，可造就雄辩之才。,读书,伏尔泰,《佚名》
50,读书使人心明眼亮。,读书,伏尔泰,《佚名》
51,我们一面要养成读书心细的习惯，一面要养成读书眼快的习惯。心不细则毫无所得，等于白读；眼不快则时候不够用，不能博搜资料。,读书,梁启超,《饮冰室全集》
52,好书而不要诸仲尼，书肆也。好说而不要诸仲尼，说铃也。,读书,杨雄,《佚名》
53,读书若未能应用，则所读的书等于废纸。,读书,乔治·华盛顿,《佚名》
54,人是活的，书是死的，活人读死书，可以把书读活。死书读活人，可以把人读死。,读书,乔治·华盛顿,《佚名》
55,世人尽道读书好，只恐读书读不了！读书个个望公卿，几人能向金阶走？郎不郎时秀不秀，长衣一领遮前后。畏寒畏暑畏风波，养成娇怯难生受。算来事事不如人，气硬心高妄自尊。稼穑不知贪逸乐，那知逸乐会亡身。农工商贾虽然贱，各务营生不辞倦。从来劳苦皆习成，习成劳苦筋力健。春风得力总繁华，不论桃花与菜花。自古成人不自在，若贪安享岂成家！老夫富贵虽然爱，戏场纱帽轮流戴。子孙失势被人欺，不如及早均平派。一脉书香付长房，诸儿恰好四民良。暖衣饱食非容易，常把勤劳答上苍。,读书,冯梦龙,《醒世恒言》
56,读书可以广智，宽恕可以交友。当你有机会读书的时候，请不要放弃读书的机会。当你能以豁达光明的心地去宽容别人的错误时，你的朋友自然就多了.,读书,罗兰,《罗兰小语》
57,人生最大的遗憾就是，学业无成，事业无成，家庭也不完美！寻根究底，只因为在读书的年代，思想开了小差。所以，要改善命运，还得努力读书，凭借读书这一过程，提升认知，修炼思想，觉悟人生！2020、10、10,读书,,
58,传统文化是融化在你的血液里面、渗透在你的骨髓里边的，这是你天然的优势所在，所以一定要学好。你别跟外国人一比，英语比不上他，你对中国文化又不懂，那是不行的。,读书,何兆武,《上学记》
59,《心态决定生态》,读书,,
60,读书不下苦功，妄想显荣，岂有此理？为人全无好处，欲邀福庆，从何得来？,读书,王永彬,《围炉夜话》
61,博学笃志，神闲气静。,读书,王永彬,《围炉夜话》
62,求备之心，可用之以修身，不可用之以接物；知足之心，可用之以处境，不可用之以读书,读书,王永彬,《围炉夜话》
63,凯蒂：“这些修女们真是太伟大了。 他们舍弃一切，舍弃了她们的家庭，她们的祖国，她们的爱情，她们的孩子，她们的自由。我总觉得，最难舍弃的就是那些微不足道的东西，她们舍弃了鲜花和原野，舍弃了秋日漫步，舍弃了读书与音乐，舍弃了舒适与安逸，她们舍弃了一切，所有的一切。她们之所以如此，是因为她们把生命中的一切都奉献了出来。她们牺牲自我，甘于清贫，逆来顺受，终日劳碌，并在祈祷中度过一生。对她们来说，这个世界是一个名副其实的流放地。生活是一个她们情愿背负的十字架，在她们的心里始终希望——不，比希望强烈得多，是向往、期待,读书,毛姆,《面纱》
64,她模糊地意识到了什么。这就像在学习某种外国话的时候，读完了一页文章你却根本不知所云；直到一个单词或者一个句子启发了你，使你冥思苦想的脑瓜灵光一现，似乎明白了整篇文章的意思。,读书,毛姆,《面纱》
65,将来找一个民风好的村子，弄一小院，一亩良田；每日读书，写字，弹琴，种地；时有好友做客，交心品茗，把酒当歌；一年拍一部电影，旅行一个国家。,读书,黄轩,《佚名》
66,当孩子根本不喜欢读的时候，读书对他有什么用处?不能让还不喜欢读书学习的学生对读书发生厌恶的心情。不能让他体会到读书的苦味，以免过了青年时期他还觉得读书是一件可怕的事情。,读书,卢梭,《爱弥儿》
67,戴尔.卡耐基讲：“你兴趣所在的地方，也就是你能力所在的地方。”其实，成功者之所以成功，是因为他们懂得优先培育自己谋生的能力，与人友好相处的能力。,读书,,
68,【度过人生低潮期的三大步骤】,读书,,
69,晓月时对窗翻卷，是我翻书还是书阅我？,读书,沈复,《浮生六记》
70,读书一定要有引导，一定要有很高的品位，用正确的、科学的价值观来引导。书有好书也有坏书，有的书看起来很好，有的书虽然很好看，但是不见得会对你的人生观、价值观有好处。,读书,陈佳洱,《佚名》
71,书陪伴了我的成长，有困难时找书解困，不如意时看书平缓心境，有空时翻书欣赏，分享别人的喜忧。我的职业更需要读书。,读书,陈佳洱,《佚名》
72,且从来拂意之事，自不读书者见之，似为我所独遭，极其难堪；不知古人拂意之事，有百倍于此者，特不细心体验耳。即如东坡先生殁后，遭逢高、孝，文字始出，而当时之忧谗畏讥，困顿转徙潮惠之间，且遇跣足涉水，居近牛栏，是何如境界？又如白香山之无嗣，陆放翁之忍饥，皆载在书卷，彼独非千载闻人，而所遇皆如此，诚一心平静观，则人间拂意之事，可以涣然冰释。,读书,沈复,《浮生六记》
73,立志是读书人最要紧的一件事。,读书,孙中山,《孙中山全集》
74,我一生的嗜好。除了革命外，只有读书，我一天不读书，便不能生活。,读书,孙中山,《孙中山全集》
75,好的作品像是一面镜子，一头驴子走过去看它，你不能指望会看到一位天使。,读书,叔本华,《人生的智慧》
76,我们为什么要多读书？哲人说：理想的书籍是智慧的钥匙，善读者可以医愚。对于有文化的人而言，读书是摄取精神食粮的高尚享受，是人生排除寂寞、享受孤独的最佳途径。书籍是知识的海洋，是智慧的宝库，我们读书越多，就越发变得聪慧而有力量。,读书,,
77,他个子清瘦，中等身材，骨骼小而结实，尽管胡子又长又黑，外表上仍不脱孩子气，又大又深的眼睛富于热情。,读书,埃德加·斯诺,《红星照耀中国》
78,"如果第一遍没有理解内容,那么第二第三遍也不会和第一遍有什么差别,即使去到第十遍，也不会有什么起色。第一遍没记住，缺的是理解，而不是记忆。",读书,马赛尔·普鲁斯特,《追忆似水年华》
