,text,tag,author,from_book
0,生又如何，死又如何，从混沌中来，回混沌中去，万古青天一株莲！,豁达,辰东,《遮天》
1,有时在佛教寺庙，看着跪拜的信徒，呼吸着烟雾般的空气，也获得了一颗宁静的心。不是为了排解忧愁，不为寻求神的庇护，只是在宙宇中时刻提醒着自己，保持善良，不要害怕。,豁达,祝小兔,《时光不老，我们不散》
2,热情让我害怕，一是怕要让我回报相同的热情，那是件很辛苦的事，承不起来，让人虚脱；二是害怕热情总是快速褪去，因为差距而更加落寞。,豁达,祝小兔,《时光不老，我们不散》
3,大千世界芸芸众生，各尽不同方有人间百态，若都同出一辙，岂不无趣?,豁达,饶俊,《醉玲珑》
4,燕去燕归沧海桑田，倘注定有分无缘，亦感蒙赐初面，纵此生不见，平安唯愿，若得闲，仍念。,豁达,白槿湖,《如果巴黎不快乐Ⅲ》
5,当我们做你们称为自我牺牲的事情时，我们是出于自愿，或者认为给予是好的。不管实际上我们为别人放弃了多少，我们不会认为这样的行为能够提高我们的精神境界，或者认为我们应当为此得到回报。,豁达,鲁思·本尼迪克特,《菊与刀》
6,她其实挺可怜的，没亲没故的，怕你不疼她，脾气就坏了。,豁达,苏童,《妻妾成群》
7,把自己所做的学问事业当作一件艺术品看待，只求满足理想和情趣，不斤斤于利害得失，才可以有一番真正的成就。伟大的事业都出于宏远的眼界和豁达的胸襟。如果这两层不讲究，社会上多一个讲政治经济的人，便是多一个借党忙官的人；这种人愈多，社会愈趋于腐浊。现在一般借党忙官的政治学者和经济学者以及冒牌的哲学家和科学家所给人的印象只要一句话就说尽了——俗不可耐”。,豁达,朱光潜,《谈美》
8,毕竟人生如泡影，何须死下杀人谋？,豁达,兰陵笑笑生,《金瓶梅》
9,神姿高彻，如瑶林琼树，自然是风尘外物。,豁达,刘义庆,《世说新语》
10,情生自愿，事过无悔，既然抗不过天命，又何必怨天尤人。,豁达,海宴,《琅琊榜》
11,不用顾念我，成也好、败也罢，只要你我母子生死共担，又有何惧？,豁达,海宴,《琅琊榜》
12,什么是天界，天界在每个人地心中，只能靠你们自己去构建。三间茅屋，几亩良田，如果能够让人安乐平和，就是天界净土。所谓虚无缥缈地天界，不过是一方魔域！,豁达,辰东,《神墓》
13,就算当初不是一时兴起，也不是好胜心，是因为对我追求新鲜感而已。,豁达,《从结婚开始恋爱》,
14,只有能做到“尽人事而听天命”，一个人才能永远保持心情的平衡。,豁达,季羡林,《季羡林文集》
15,当你自己选择了与众不同的生活方式之后，又何必去在乎别人以与众不同的眼光来看你。,豁达,多丽丝·莱辛,《天黑前的夏天》
16,如烟往事惧忘却，心底无私天地宽。,豁达,陶铸,《理想情操精神生活》
17,豁达自乐春常在，心无忧烦寿亦长。,豁达,臧克家,
18,以情恕人，以理律己。,豁达,金缨,《格言联璧》
19,活着就是活着，想那么多干嘛,豁达,温世仁,《秦时明月》
20,区分观察和评论又一句名言，是印度非常著名的心灵大师克里西那木提说的——不带评论的观察，是人类智力的最高形式！,豁达,樊登,《读书是一辈子的事》
21,读书可以广智，宽恕可以交友。当你有机会读书的时候，请不要放弃读书的机会。当你能以豁达光明的心地去宽容别人的错误时，你的朋友自然就多了.,豁达,罗兰,《罗兰小语》
22,“岂能尽如人意，但求无愧我心”。一切事只要自己问心无愧，不曾主动地去与人为敌就可以心安了。至于别人怎么待我，我们既无法强求，也就不必强求了。,豁达,罗兰,《罗兰小语》
23,假如你够豁达，你就应该了悟，人与人之间只能在笑语喧腾的时候，显得亲热，或在一方可以施舍善意，博得慷慨之名的时候，显得仁慈。舍此而外，没有谁会真正分担上你心灵上的寂寞。,豁达,罗兰,《罗兰小语》
24,一人如露水， 苍生如江海，但在弟子眼中 小九、一人、苍生并无分别。,豁达,程腾,《姜子牙》
25,一个女人，最重要的是心态要好，就算吃苦，那也是苦中作乐。只要心胸豁达，心态良好，那些不好的人和事，终如风云一样飘过。谁的生活都有伤痛，重要的是，智者懂得放下。放下了伤痛，生活就只有快乐。,豁达,,
26,害过我的人很多，要一个个都去杀了出气，也杀不尽这许多。何况，有些人存心害我，其实他们也是很可怜的。,豁达,金庸,《倚天屠龙记》
27,世人孰能无死？早死几年和迟死几年也没太大分别。,豁达,金庸,《倚天屠龙记》
28,我们这些人要是有座右铭的话，那就是:“别抱怨———面带微笑，等待时机。”我们就是这样渡过了不少难关，面带微笑，等待我们的时机，我们终于成为了渡难关的专家。,豁达,玛格丽特·米切尔,《乱世佳人》
29,世上没有什么东西能拿我们怎么样，可是我们自己要是老想恢复失去的东西，老想着过去，就会毁了我们自己。,豁达,玛格丽特·米切尔,《乱世佳人》
30,过去的已经过去了，死了的已经死了，活着的还要继续活着。,豁达,玛格丽特·米切尔,《乱世佳人》
31,我只是个可怜的白痴，如今却得照顾全人类。,豁达,温斯顿·格鲁姆,《阿甘正传》
32,一个人真正需要的财富就那么一点点，其余的都是用来炫耀的，正应了中国的古话:纵有广厦千间，夜眠三尺之地。,豁达,温斯顿·格鲁姆,《阿甘正传》
33,只有当公众能够证明其写作意图不够诚恳时，作家才会受到伤害。那么，作家及其作品即走向自我毁灭。此外，其他一切都不重要，包括指控和保护。,豁达,惠特曼,《草叶集》
34,那一种光明，简单，敦厚与宁静的境界，在现实的生活里，大约就是要修养出一种善意的豁达与宽容来吧。,豁达,池莉,《熬至滴水成珠》
35,日日的守候里，一份快乐、开心、豁达、恬静，悄然无声间，穿透心底的海岸，碰撞、交织、相融……,豁达,秋微,《莫失莫忘》
36,要坚强，要勇敢，不要让绝望和庸俗的忧愁压倒你，要保持伟大的灵魂在经受苦难时的豁达与平静。,豁达,亚米契斯,《爱的教育》
37,我对待你的方式，取决于你对待我的态度。,豁达,,
38,胖子最烦我这个样子，他说我就是个林黛玉，整天不知道在琢磨什么东西，这人世间的东西哪有这么多好琢磨的，没心没肺地活着也是蹬腿死，你机关算尽也是蹬腿死，反正结局都一样，你管他妈的中间那个羁绊干什么。,豁达,南派三叔,《盗墓笔记》
39,我信任所有真实自然的语言，没有矫饰，没有虚浮，有的只是在生活和情感中的逐渐沉定。,豁达,安妮宝贝,《素年锦时》
40,皪皪而处，宛若星河,豁达,烽火戏诸侯,《雪中悍刀行》
41,太阴现，千世缘，地阴天煞，各显威严！,豁达,,
42,此刻不允许深思熟虑了：不能顾后，甚至也不能瞻前。不能回想过去，也不能展望未来。过去是一页书，那么无比美妙——又是那么极度悲哀，读上一行就会打消我的勇气，摧毁我的精力。而未来是一个可怕的空白，仿佛洪水退去后的世界。,豁达,夏洛蒂·勃朗特,《简爱》
43,感动是一种幸福，在物欲横流的尘垢中，顽强闪现着钻石般的瑰彩。,豁达,毕淑敏,《恰到好处的幸福》
44,如果忘掉过程 只记住结果 卑微一点地去爱 怎么样都是相守一生,豁达,辛夷坞,《我在回忆里等你》
45,我虽出生王族，却一直被人踩在脚下，一无所有，我不墨守成规，也不怀挟偏见，我既能一掷决生死，又能一笑泯恩仇。,豁达,蒋胜男,《芈月传》
46,迈出第一步，才知道第二步怎么走。,豁达,霍达,《穆斯林的葬礼》
47,白嘉轩只顾瞅着犁头前进的地皮，黄褐色的泥土在脚下翻卷，新鲜的湿土气息从犁铧底下泛漫潮溢起来，滋润着空乏焦灼的胸膛，他听见自己胳膊腿上的骨节咯吧咯吧扭响的声音。他悠然吆喝着简洁的词谴犍牛的词令，倒像是一种舒心悦意的抒情。他一直犁到棉田的尽头掉过犁头，背着霞光朝东头翻犁过来的时候，吼起了秦腔……,豁达,陈忠实,《白鹿原》
48,离美不近，离瘦挺远。,豁达,佚名,《佚名》
49,学会抛开感性牵连，用理性来做正确但不一定正义的事,豁达,佚名,《佚名》
50,确实，大多时候，我们仍然无能为力。,豁达,佚名,《佚名》
