,text,tag,author,from_book
0,登天路，踏歌行，弹指遮天！,豪放,辰东,《遮天》
1,海阔凭鱼跃，天高任鸟飞。,豪放,戚继光,《佚名》
2,以诗情才气发酵文采的陈酿，,豪放,刘义庆,《世说新语》
3,内心深处在燃烧，山河又在心中存。,豪放,梦入神机,《点道为止》
4,煮酒对饮红颜娇，何妨醉倒，把酒异界天涯海角！,豪放,天蚕土豆,《斗破苍穹》
5,行到水穷处，坐看云起时。,豪放,王维,
6,星垂平野阔，月涌大江流。,豪放,杜甫,《杜工部集》
7,惜秦皇汉武，略输文采，唐宗宋祖，稍逊风骚；一代天骄，成吉思汗，只识弯弓射大雕！,豪放,毛泽东,《毛泽东选集》
8,不到长城非好汉！,豪放,毛泽东,《毛泽东选集》
9,二营长，你他娘的意大利炮呢？给老子拉上来,豪放,都梁,《亮剑》
10,青云衣兮白霓裳，举长矢兮射天狼。,豪放,屈原,《离骚》
11,乘龙兮辚辚，高驰兮冲天。,豪放,屈原,《离骚》
12,人生最高之理想，在求达于真理。,豪放,李大钊,《佚名》
13,铁肩担道义，妙手著文章。,豪放,李大钊,《佚名》
14,从此刻起我规定自己摆脱羁绊和虚构的限制，来往随心所欲，做自己完全绝对的主人，倾听别人，仔细琢磨他们的话，停顿，探索，接受，沉思，我性情温和但意志不可抗拒，要摆脱那会束缚我的束缚。,豪放,惠特曼,《草叶集》
15,这个世界上，能让我仰望的只有天空。,豪放,佚名,《英雄联盟》
16,他强任他强，清风拂山岗，他横由他横，明月照大江。,豪放,金庸,《倚天屠龙记》
17,假发，要头儿的话就交给我好了的说，我的格言是：无论善恶，要做就做老大。,豪放,空知英秋,《银魂》
18,能收拾那个女孩的，只有我,豪放,空知英秋,《银魂》
19,时之圣者也，时之凶者也。此亦蒙昧世，此亦智慧世。此亦光明时节，此亦黯淡时节。此亦笃信之年，此亦大惑之年。此亦多丽之阳春，此亦绝念之穷冬。人或万物具备，人或一事无成。我辈其青云直上，我辈其黄泉永坠。,豪放,狄更斯,《双城记》
20,总有一天，,豪放,唐家三少,《绝世唐门》
21,手握日月摘星辰，天下无我这般人。,豪放,唐家三少,《绝世唐门》
22,老夫聊发少年狂，左牵黄，右擎苍，锦帽貂裘，千骑卷平岗。为报倾城随太守，亲射虎，看孙郎。,豪放,苏轼,《苏轼诗词全集》
23,大江东去，浪淘尽，千古风流人物。故垒西边，人道是，三国周郎赤壁。乱石穿空，惊涛拍岸，卷起千堆雪。江山如画，一时多少豪杰。,豪放,苏轼,《苏轼诗词全集》
24,回首向来萧瑟处，归去，也无风雨也无晴。,豪放,苏轼,《苏轼诗词全集》
25,酒入豪肠,豪放,余光中,《隔水观音》
26,随着她缓缓睁开眼睛，井底的黑暗被她的瞳光照亮，她的眼底仿佛流淌着熔岩。她望着天空又俯瞰脚下，在扫视着这个地狱般的地方。 面如冰封，而又君临天下。,豪放,江南,《龙族》
27,天与地,豪放,仓央嘉措,《仓央嘉措诗传》
28,千古江山，英雄无觅，孙仲谋处。舞榭歌台，风流总被雨打风吹去。斜阳草树，寻常巷陌，人道寄奴曾住。想当年，金戈铁马，气吞万里如虎。,豪放,辛弃疾,《辛弃疾词全集》
29,醉里挑灯看剑，梦回吹角连营。八百里分麾下炙，五十弦翻塞外声。沙场秋点兵。,豪放,辛弃疾,《辛弃疾词全集》
30,生当为人杰，死亦作鬼雄。至今思项羽，不肯过江东。,豪放,李清照,《李清照诗文》
31,杀阡陌：白子画，你若敢为你门中弟子伤她一分，我便屠你满门，你若敢为天下人损她一毫，我便杀尽天下人。,豪放,fresh果果,《花千骨》
32,任何人都不配与我一战，任何人都必须向我道歉。没有人能战胜我，因为我不可战胜。不要与我辩论，你多说一句就多暴露一分愚蠢。,豪放,李敖,《李敖金句》
33,骄气和傲气：我李敖从不满脸骄气，却总有一身傲骨。,豪放,李敖,《李敖金句》
34,我能惦记着出门要穿衣服已经不错 了，哪还顾得上搭配？,豪放,韩寒,《我所理解的生活》
35,我有一个梦，我想我飞起时，那天也让开路，我入海时，水也分成两边，众神诸仙，见我也称兄弟，无忧无虑，天下再无可拘我之物，再无可管我之人，再无我到不了之处，再无我做不成之事，再无我战不胜之物。,豪放,今何在,《悟空传》
36,我知道天会愤怒。如果人触犯了它的威严。但天是否知道人也会愤怒？如果他已一无所有。当我乞求时，你傲慢冷笑。当我痛哭时，你无动于衷。现在我愤怒了。我要听到天的痛哭。我要听到神的乞求。我知道天会愤怒。但你知道天也会颤抖吗？苍穹动摇时，我放声大笑，挥开如意金箍棒，打它个地覆天翻。从今往后一万年，你们都会记住我的名字，齐天大圣孙悟空。,豪放,今何在,《悟空传》
37,若天压我，劈开那天，若地拘我，踏碎那地，我等生来自由身，谁敢高高在上.,豪放,今何在,《悟空传》
38,我要这天，再遮不住我眼，,豪放,今何在,《悟空传》
39,彪悍的人生不需要解释。,豪放,罗永浩,《老罗语录》
40,真气所致，草木皆为利刃,豪放,金庸,《笑傲江湖》
41,祖千秋指着一坛酒，说道：“这一坛关外白酒，酒味是极好的，只可惜少了一股芳冽之气，最好是用犀角杯盛之而饮，那就醇美无比，须知玉杯增酒之色，犀角杯增酒之香，古人诚不我欺。”“至于饮葡萄酒嘛，当然要用夜光杯了。古人诗云：‘葡萄美酒夜光杯，欲饮琵琶马上催。’要知葡萄美酒作艳红之色，我辈须眉男儿饮之，未免豪气不足。葡萄美酒盛入夜光杯之后，酒色便与鲜血一般无异，饮酒有如饮血。岳武穆词云：‘壮志饥餐胡虏肉，笑谈渴饮匈奴血’，岂不壮哉！”饮这坛梨花酒呢？那该当用翡翠杯。白乐天杭州春望诗云：‘红袖织绫夸柿叶，青旗沽酒趁梨花,豪放,金庸,《笑傲江湖》
42,行云流水，任意所至。,豪放,金庸,《笑傲江湖》
43,有人的地方就有江湖。,豪放,金庸,《笑傲江湖》
44,老娘的征途是星辰和大海，哪有空在你们地球落泪葬花。,豪放,马薇薇,《奇葩说》
45,史莱克领空，不可侵犯！,豪放,唐家三少,《龙王传说》
46,有你在又何妨与世界为敌？,豪放,唐家三少,《龙王传说》
47,我没想过来不及，没想过你会不要我。,豪放,唐七公子,《三生三世枕上书》
48,泪添九曲黄河溢，恨压三峰华岳低。,豪放,王实甫,《西厢记》
49,云路鹏程九万里，雪窗萤火二十年。,豪放,王实甫,《西厢记》
50,流州铁骑！愿死者！随我死！,豪放,烽火戏诸侯,《雪中悍刀行》
51,古今难堪是离愁，离愁难叙，何人不低头？回首落花春梦去，几许回忆，残月枝头，空对寒秋！,豪放,,
52,不登上世界的巅峰怎么会知道力量的美？不杀戮众生怎能把新王的旗帜染红？它像指挥家那样强有力地挥舞双臂，火山群自东而西喷出炽热的烟柱，烟柱中裹着赤红色的火山灰，就象是黑龙身上赤色的鳞片。,豪放,江南,《龙族3·黑月之潮》
53,在最坏的情况下就要有最强力的手段，所谓力挽狂澜，意味着不惜一切！,豪放,江南,《龙族3·黑月之潮》
54,泰然相向，生命之高下并不决定于绵长或短暂，更在于丰美和深邃。,豪放,毕淑敏,《恰到好处的幸福》
55,——先生也曾意气风发 指点江山,豪放,孙皓晖,《大秦帝国》
56,他是匹野马驹子 天生属于那边的日月星辰 不属于这里的楼阁亭台,豪放,蒋胜男,《芈月传》
57,那天高云阔，逍遥自在，整个大漠任你我驰骋。,豪放,蒋胜男,《芈月传》
58,我的犹豫是宇宙的犹豫。,豪放,李诞,《冷场》
59,近来逢酒便高歌，醉舞诗狂渐欲魔。五斗解酲犹恨少，十分飞盏未嫌多。眼前仇敌都休问，身外功名一任他。,豪放,元稹,《元稹诗文》
60,“你陪我聊天的时候，整个世界都好他妈的好看啊。” ​​​​,豪放,德卡先生的信箱,《微博》
61,大丈夫得死疆场者，幸也,豪放,罗贯中,《三国演义》
62,“明天把前面那片森林砍了。”,豪放,罗贯中,《三国演义》
63,神剑御雷真诀：,豪放,萧鼎,《诛仙》
