,text,tag,author,from_book
0,要不然弄了一辆北京吉普，带着我上了新修不久的二环路，一路没红绿灯，一会儿工夫就到了鼓楼大街，直奔着后海而去。,豪气,马伯庸,《古董局中局》
1,风小泪，是弱者的慰藉，是强者的武器。,豪气,玄色,《哑舍》
2,秋风落叶乱为堆， 扫去还来千百回。 一笑罢休闲处坐， 任他着地自成灰。,豪气,南怀瑾,《佚名》
3,往事浓淡相宜，我却思之惊心。这个习惯我保留太多年，每每分别，短暂的也好，漫长的也好，我一定目送他背影消失殆尽方才肯离去。他也知道我在望着他，会很豪气地背对着我高举起手挥动，我总觉得那就是末日之感：不知道哪一次，就会是最后一次了。,豪气,七堇年,《尘曲》
4,将军不离九宫内，士止相随不出宫。,豪气,宋晋川,《上阳赋》
5,咱这地界叫十八里坡，就叫它十八里红吧。,豪气,莫言,《红高粱》
6,There is only one God，and his name is Death. And there is only one thing we say to Death:“Not today.”,豪气,乔治·马丁,《权力的游戏》
7,一个人的大气是由时光和阅历来熏染的，而一个人的豪气却是由物质来铺垫的。,豪气,李佩甫,《羊的门》
8,天掉下来当被子盖。,豪气,秦雯,《流金岁月》
9,你做蛋糕，我有商科背景，咱俩等于成功。,豪气,迈克尔·帕特里克·金,《破产姐妹》
10,魏晋风流，尽收眼底。,豪气,刘义庆,《世说新语》
11,大丈夫处世，当埽除天下。,豪气,范晔,《后汉书》
12,再往我身上砸一个卫星，我就要发火了。,豪气,杰克·科比,《复仇者联盟3》
13,大地的胸怀是无比宽阔的，它能容纳人世间的所有痛苦。,豪气,路遥,《人生》
14,天下重归一统，乃天命所归，亦是人心所向！,豪气,孙皓晖,《大秦赋》
15,嬴政欲穷毕生之力，让天下所有人都过上安宁的日子！,豪气,孙皓晖,《大秦赋》
16,灭六国，天下凝一！,豪气,孙皓晖,《大秦赋》
17,大秦男儿，勿忘东出。兴我大秦，天下统一。,豪气,孙皓晖,《大秦赋》
18,苍天死，黄天立，王道不衰青天起；泣血生，浴血唳，怨魂怒魄洒血雨；神识难灭地难葬，湮灭轮回弑天地！ 众神吟，仙乐起，九天之上诸神聚；厉鬼啸，怨魂嚎，九幽之下阴魂绕；亿万生灵俯称军，百万神魔甘为将！,豪气,辰东,《神墓》
19,吾以炎帝萧炎之名，赦天下万火，听本帝号令！,豪气,天蚕土豆,《斗破苍穹》
20,他们不是奴仆。他们是未来的红色战士。,豪气,埃德加·斯诺,《红星照耀中国》
21,只有够格之人，才能得到夜陨之吻,豪气,《英雄联盟》,
22,山河破碎，男儿许国。,豪气,管虎,《八佰》
23,我们不只是在这里抵抗日本人，我们是在给他们看，中国人还在。,豪气,管虎,《八佰》
24,我们是湖北保安团的脸面...,豪气,管虎,《八佰》
25,丈夫许国，实为幸事,豪气,管虎,《八佰》
26,我的名字必须闪闪发亮，这是我活着的唯一理由.。,豪气,安徒生,《安徒生童话故事集》
27,萧峰扯开自己衣襟，也现出胸口那张口露牙、青郁郁的狼头来。两人并肩而行，突然间同时仰天而啸，声若狂风怒号，远远传了出去，只震得山谷鸣响，数千豪杰听在耳中，尽感不寒而栗。“燕云十八骑”拔出长刀，呼号相和，虽然一共只有二十人，但声势之盛，直如千军万马一般。,豪气,金庸,《天龙八部》
28,少室山上，少林寺前，萧峰身陷重围，无数武林人士欲杀之而后快，除了段誉、虚竹挺身而出，只有段正淳低声向范骅诸人道：“这位萧大侠与我有救命之恩，待会危急之际，咱们冲入人群，助他脱险。” 范晔道：“是！” 向拔刃相向的数千豪杰瞧了几眼，说道：“对方人多，不知主公有何妙策？” 段正淳摇摇头，说道：“大丈夫恩怨分明，尽力而为，以死相报。”大理众士齐声道：“原当如此！”,豪气,金庸,《天龙八部》
29,宋远桥道：“今日之事，武当派已然尽力，想是魔教气数未尽，上天生下这个奇怪少年来。若再缠斗不休，名门正派和魔教又有什么分别？”俞莲舟道：“大哥说得是。咱们即日回山，请师父指点。日后武当派卷土重来，待这少年伤愈之后，再决胜负。”他这几句话说得光明磊落，豪气逼人，今日虽然认输，但不信武当派终究会技不如人。张松溪和莫声谷齐声道：“正该如此！”,豪气,金庸,《倚天屠龙记》
30,小丈夫一日不可无钱，大丈夫一日不可无权。,豪气,金庸,《鹿鼎记》
31,平生不识陈近南，就称英雄也枉然。,豪气,金庸,《鹿鼎记》
32,三天后，也就是十四日，在凌晨一点钟至五点钟，整个宇宙将为你闪烁。,豪气,刘慈欣,《三体》
33,请求一块二向箔，清理用,豪气,刘慈欣,《三体》
34,Everything the light touches is our kingdom.,豪气,艾琳·梅琪,《狮子王》
35,这个城市缺少了点高品质的犯罪，如果没有，就由我来献上。,豪气,克里斯托弗·诺兰,《蝙蝠侠：黑暗骑士》
36,我要这个女团绝对漂亮，绝对有吸引力，让女生看见了想成为女团，男生看见了想娶她们。,豪气,《乘风破浪的姐姐》,
37,亲切的励志的好阿姨。,豪气,《乘风破浪的姐姐》,
