,text,tag,author,from_book
0,现在的人都只谈条件，不谈感情的。,负能量,饶晓志,《人潮汹涌》
1,遇见一次想跳楼的鸽子，我想救救它。,负能量,,
2,有情只能饮水饱，有钱人才能终成眷属。,负能量,阿耐,《欢乐颂》
3,男人帅有什么用啊，是能当菜吃还是能当饭吃，还是能出去挣钱啊？这也就能骗骗你们这些小姑娘，真要是结婚了，基本等同于自杀。,负能量,阿耐,《欢乐颂》
4,你可以在租来的房子里结婚，生没户口的孩子，请不起保姆，整天要不是你老公跟你妈吵架，就是你跟你婆婆开战。生活的鸡飞狗跳，最后你就得变成黄脸婆。,负能量,阿耐,《欢乐颂》
5,同住一栋楼层，人家开的是豪车，我们挤得是地铁。,负能量,阿耐,《欢乐颂》
6,果然这个世界是看脸的，丑女四处碰壁。,负能量,阿耐,《欢乐颂》
7,何必用火刑具呢：他人，即地狱。,负能量,萨特,《存在与虚无》
8,世界是荒诞的，人生是痛苦的，生活是无意义的。,负能量,萨特,《存在与虚无》
9,我都放弃自己这么久，你们也应该放弃我。,负能量,张嘉佳,《从你的全世界路过》
10,苦恼仿佛从生下来的那一刻就存在着，眼泪也是，痛苦也是,负能量,,
11,知道把事情搞糟了怎么办吗？很简单，把它搞得更糟一些,负能量,HEHE,《浪漫传说》
12,努力在天赋面前一文不值,负能量,佚名,《佚名》
13,天命有在，何必强为！岂有凡事阻逆之理？,负能量,许仲琳,《封神演义》
14,这世间不管输也好 赢也好，都是地狱了。,负能量,空知英秋,《银魂》
15,被梦想俘虏的人，就是在追逐自己的厄运。,负能量,刘瑜,《观念的水位》
16,与人友好相处这种行为不过是自欺欺人，对方知道被骗，自己也默许对方欺骗的恶性循环而已。因此，这样做终归还是虚伪、猜忌与欺骗。.,负能量,渡航,《我的青春恋爱物语果然有问题》
17,结婚 这是人生的坟墓 已婚者都毫不例外的炫耀着结婚的好处 虽然说有能说我回来了的对象很高兴之类的 看着孩子的睡颜第二天就能加油之类的 但是等等 在老家的话也能、说我回来了 而且 能看见孩子的睡颜就意味着刚加完班 这真的算的上是幸福吗 本已经找到幸福的他们的双眼却都和我一样是已经腐朽的了 简直是在大街上活蹦乱跳的僵尸！,负能量,渡航,《我的青春恋爱物语果然有问题》
18,讴歌青春的人们总是在欺骗自己与同伴,负能量,渡航,《我的青春恋爱物语果然有问题》
19,我希望我是云，不是因为云有多么自由，而是我懒得在这世间走。,负能量,,
20,性实际上是爱侣之间表示爱情的最恰当、最热烈的语言，贞节之所以必要，是为了保护这种语言不被污染，为了不让它丧失示爱的功能。就是说，如果你跟谁都可以上床，都可以这样热烈，这样欲仙欲死，你说你只爱我一个人，我还怎么能相信呢？我们好到了极点，最后也只能用这个语言来表达，那么，你对我的爱与你对她们的这种关系，区别到底在什么地方呢？你已经把这个最恰当、最热烈的语言用掉了，你再用别的语言来解释是怎么也解释不清楚了。,负能量,史铁生,《务虚笔记》
21,随之我听到了老师用极低的声音念念有词地诵读经文，却无法听出是什么经文。老师身上有我们所不知晓的阴暗的精神生活，比起它来，我一向拼命地尝试的小小的恶、罪和怠慢就是微不足道的了。,负能量,三岛由纪夫,《金阁寺》
22,为什么这个世界上有那么多人喜欢谈论别人的是非？为什么喜欢用他人的伤口来娱乐自己？为什么他们不能只关心自己的事情?,负能量,桐华,《那些回不去的年少时光》
23,死亡其实是生存的唯一目的 。,负能量,慕容雪村,《成都，今夜请将我遗忘》
24,爱不敢用力爱，恨不敢用力恨，错过了又觉得可惜，接受了又怕受伤，畏首畏尾。,负能量,卢思浩,《你要去相信，没有到不了的明天》
25,我们犯过最多的错误，大概就是在情绪不好时，向身边最无辜的人发火。,负能量,佚名,《佚名》
26,你都没有尽力，又有什么资格说自己运气不好。,负能量,佚名,《佚名》
27,努力了不一定能成功，但是不努力真的很轻松。,负能量,佚名,《佚名》
28,你和别人都渴望成功，但是你却连早点儿起床都做不到。,负能量,佚名,《佚名》
29,不要觉得靠关系的人一定很无能，其实别人样样比你强。,负能量,佚名,《佚名》
30,你可以不努力，但最好别后悔。,负能量,佚名,《佚名》
31,哪怕抛开出身的因素，我觉得你也未必干得过别人。,负能量,佚名,《佚名》
32,又一天过去了，今天过的怎么样，是不是离梦想更远了？,负能量,佚名,《佚名》
33,弱者都是这样，觉得生活中的无奈太多，自己又无力改变。,负能量,佚名,《佚名》
34,很多时候乐观的态度和好听的话都帮不了你。,负能量,佚名,《佚名》
35,他不愿意。他心里始终有阴影，每跟路鸣泽交易一次，那阴影就变大，要把他吞掉的样子。心底深处好像有人对他不断呼喊说，停下！停下！停下！不能再交易了！再这么交易下去，有些比命还重要的东西就要没了！可是想来真可笑，他穷得只剩卡贷了，居然还有比命更重要的东西,负能量,江南,《龙族3·黑月之潮》
36,多数逃避无聊的努力，最后都被证明比无聊本身更加无聊。,负能量,李宫俊,《李宫俊的诗》
37,每天都要做的两件事：崩溃和自愈,负能量,佚名,《佚名》
38,这个世界上，可能最百感交集的时候，,负能量,,
39,我本平凡，却自命不凡。,负能量,,
40,可能骨子里就是个淡漠的人，没有特别挚爱的东西，没有一定要得到的人，也没有非做不可的事,负能量,佚名,《佚名》
41,弃世，也是一种坚强。,负能量,木心,《文学回忆录》
42,人生不能重来，但是可以放弃。,负能量,李宫俊,《李宫俊的诗》
43,吃完了午餐，躺在床上默默等晚餐。,负能量,李宫俊,《李宫俊的诗》
44,一个不执着于任何事情的人才是浪漫的，浪漫是一种流动性，现实是一种僵硬和凝固性。,负能量,张方宇,《单独中的洞见2》
45,庸人成功所及之处，仍然远远达不到天才失败所在的高度。,负能量,张方宇,《单独中的洞见2》
46,死亡不仅仅是发生在我们生命中的最后一件事，其实，它更是我们整个生命的背景。,负能量,张方宇,《单独中的洞见2》
47,如果你一天当中不需要去做什么事，又没有遇到什么人，那么这一天对你来说是多么幸运！,负能量,张方宇,《单独中的洞见2》
48,所有的努力，从本质上说都是一种挣扎。放松，是返璞归真的唯一方式。,负能量,张方宇,《单独中的洞见2》
49,知道分子，一无是处。,负能量,冯唐,《成事》
50,成年人世界里的感情，没有纯粹的爱，喜欢。从你离开学校的那一刻开始，就已经成了无法改变的事实，如果某个人说喜欢你，爱你，选择跟你在一起，一定是你的外表，思想，物质，性格综合产生的一个情绪表达！一个暂时的选择！是暂时的，不是永远！,负能量,佚名,《佚名》
51,不懂的东西，又何必要去努力。,负能量,李诞,《冷场》
52,我胆敢成为别人眼中不可理喻的疯子，执迷不悟的傻子，冷酷无情的负心汉，只为不负心中的热情与理想。,负能量,毛姆,《月亮和六便士》
53,那是一个抛家弃子的男人，没人知道为什么，除了他自己。,负能量,毛姆,《月亮和六便士》
54,我们生到世间没人知道是为了什么，死后没有人知道要到哪里去。我们必须自甘屈卑，我们必须学会享受冷清寂寥的美妙。在生活中我们一定不要出风头、露头角，惹起命运对我们的注目。愚昧远比知识更为可贵，让我们保持着沉默，满足于自己的小小天地，平易而温顺。,负能量,毛姆,《月亮和六便士》
55,这大地上太需要荒诞了。世界就建立在荒诞上面，没有它世上也许就会一无所有了。,负能量,陀思妥耶夫斯基,《卡拉马佐夫兄弟》
56,挫折总会导致某种形式的攻击行为。,负能量,戴维·迈尔斯,《社会心理学》
57,批评会产生轻视，轻视会引发残暴，而当残暴被认为是合理行为时就会导致兽行，接着就是杀戮，然后是大规模的杀戮...态度紧随着行动，又为行动辩护。,负能量,戴维·迈尔斯,《社会心理学》
58,雪亮到残忍的阳光照亮了你的废墟，你的残羹冷炙，你沦陷的城头上那面破败羞耻、红得暧昧污秽的旌旗。,负能量,笛安,《芙蓉如面柳如眉》
59,我一不坚强二没有独立心，不外乎硬被现实推向前去罢了,负能量,村上春树,《海边的卡夫卡》
60,"一些恼怒引起了另一些恼怒,老伤疤被重新揭开变成了新伤疤。",负能量,马尔克斯,《霍乱时期的爱情》
61,同突然蔓延开来一样，霍乱又突然停止了，从来没弄清楚到底有多少人死于非命，这倒不是无法统计，而是因为我们最常见的美德之一就是对自己的不幸逆来顺受。,负能量,马尔克斯,《霍乱时期的爱情》
62,"随后我转念从尼龙袋里取出小猎刀揣进衣袋。这是从父亲书桌里带来的利刃,必要时可以用来划开手腕血管,让我身上所有的血流到地面,以此破坏自己这一装置。",负能量,村上春树,《海边的卡夫卡》
63,没有痛是不行的，注定如此。,负能量,村上春树,《海边的卡夫卡》
64,战争在战争本身中成长，他吮吸因暴力而流出的血、咬噬因暴力而受伤的肉发育长大。战争是一种完完全全的活物。,负能量,村上春树,《海边的卡夫卡》
65,"脑海与脑海之间，心灵与心灵之间，有着一种伟大""感应""力量。这种""感应""力量虽无法测量，然而它的刺激力，它的破坏及建设力是十分巨大的。假使你常同比你低下的人混在一起，则他们一定会把你拖陷下去，一定会降低你的志向和理想。",负能量,卡耐基,《人性的弱点》
66,时间满怀着恶意从我头上缓缓流过,负能量,新海诚,《秒速5厘米》
67,我很迷茫，只是做着力所能及的事，没有一点余力。,负能量,新海诚,《秒速5厘米》
68,我觉得死比生容易.死虽然痛苦，但生比死更痛苦.,负能量,丰子恺,《梵高生活》
69,其实这个世界上，并没有什么是一定可以伤害到你的事情。,负能量,郭敬明,《悲伤逆流成河》
70,人活百岁，横竖要死，这一口气不在，听不见看不见就罢了。,负能量,曹雪芹,《红楼梦》
71,因一时的灾荒行乞，是值得同情的，但是，把行乞当做一种习惯性职业，进而滋生出一种群体性的心理模式，则必然成为社会公害。,负能量,余秋雨,《中国文脉》
72,我一直是个悲观主义者，对生命态度淡然，认为向这个非我所愿而来、没有目的、又缺乏意义的生命讨好献媚、曲意逢迎是可笑的举动。面对生活，面对命运，我们以前是无能为力的，以后也一样无能为力。唯一可做的就是尽力保持一点尊严。当然，让自己对世界和生命不存奢求很难，不渴望幸福就更是一句空话，但有了悲观这杯酒垫底，做人也会有一点风度。,负能量,廖一梅,《像我这样笨拙地生活》
73,大家都在水中央，你就不能伸手，你一伸手，他一把抓牢你，救他的结果，连你自己也被拖累，不如主动按他的脑袋，早点把他淹死，少了一个拖累不说，船怎么沉的别人永远不知道。,负能量,刘震云,《我叫刘跃进》
74,人也好，国家世界也好，都是了解痛苦的.战争的理由我们无所谓的，宗教、思想、资源、土地、怨恨、恋爱、心血来潮…这些无聊的理由都只是开战的借口而已。战争永远不会绝灭，理由可以事后再想…是人的本能在寻求战争。,负能量,岸本齐史,《火影忍者》
75,苦难超过了一定的程度，人们就会被某种邪恶的冷漠所征服。,负能量,雨果,《悲惨世界》
76,人生有两间屋子，一间是暗的，一间是黑的,负能量,雨果,《悲惨世界》
77,为别人着迷，或者被人迷恋，感觉都很粗俗、戏谑，有得意扬扬愚弄他人之感。,负能量,太宰治,《人间失格》
78,活着，好辛苦。被四面八方的铁链捆绑着，稍稍一动便会破皮流血。,负能量,太宰治,《人间失格》
79,烟花会在瞬间消散，肉体却不能。即使死去却依然丑陋地留在世上。若是见到美丽极光的瞬间，肉体也随之燃烧，烧得干净才好。事实却并非如此。,负能量,太宰治,《人间失格》
80,总之，不能碍着他们的眼，我并不存在，我是风、是虚空——,负能量,太宰治,《人间失格》
81,瞬间不足以成为生命的喜悦，我只相信死亡瞬间的纯粹，而喜悦的瞬间......,负能量,太宰治,《人间失格》
82,我想死，越发想死。一切已无法挽回，无论做什么都以失败告终，平添一笔耻辱而已。,负能量,太宰治,《人间失格》
83,恐惧人类的人，反而会对妖怪的形象感到亲近。,负能量,太宰治,《人间失格》
84,只有那些完全沉浸在幸福中的人才有自杀的权利——这也是瓦雷里说的。,负能量,太宰治,《人间失格》
85,过往岁月，我抱着独自战斗的想法一路走来。如今却觉得自己随时可能败下阵来，越发难以克制心中的惶恐不安。但我仍不愿向自己看不起的人低头认错，请求他们与我成为朋友。故此，我唯有独自一人，喝着劣等的酒，将属于自己的战斗继续下去。我的战斗——用一句话来说明，即与因循守旧者间的战斗。与人们司空见惯的装腔作势战斗，与显而易见的阿谀奉承战斗，与寒酸之物、心胸狭隘的人战斗。我敢对耶和华起誓，为了战斗，我已经赌上了自己的全部。即使如此，我依旧落得孑然一身、嗜酒如命的下场。事到如今，似乎已到穷途末路。,负能量,太宰治,《人间失格》
86,身为罪人被五花大绑反而轻松自在,负能量,太宰治,《人间失格》
87,教室和宿舍在我看来不过是扭曲的性欲的垃圾堆。,负能量,太宰治,《人间失格》
88,酒、香烟、妓女，这些都是排遣对人的恐惧心情，哪怕一时也好的绝佳手段。,负能量,太宰治,《人间失格》
89,在行善时，必须随时心存歉意。因为没有什么比行善更刺伤人的了。,负能量,太宰治,《人间失格》
90,我喜欢坏蛋，而且喜欢臭名远扬的坏蛋。我也想做一个臭名远扬的坏蛋呢。,负能量,太宰治,《人间失格》
91,"​我只是惧怕那种令人败兴的氛围骤变会让我感到窒息般的痛苦，所以即使明知事后对自己不利，但基于“拼死的取悦奉侍精神” ,我大多会不由自主地用漂亮的言语加以修饰，纵使这种奉侍精神因扭曲已变得卑弱，甚至显得愚不可及。",负能量,太宰治,《人间失格》
92,他们彻底变得自私自利，而且视其为理所当然，难道从未怀疑过自己？我不明白。他们夜里睡得香甜，一早醒来神清气爽吗？做了哪些梦呢？会边走路边想事情吗？我还是搞不懂愈想愈迷糊，仿佛这世上只有我是异类。,负能量,太宰治,《人间失格》
93,我害怕有一天，科技会取代人与人之间的交流，我们的世界将会充斥着一群白痴,负能量,爱因斯坦,《佚名》
