,text,tag,author,from_book
0,女人是形式逻辑的典范，是辩证逻辑的障碍，我无意摧残女人，也不想被女人摧残。,辩证,豆豆,《天道》
1,卡罗琳：“你就象井底之蛙一样，因为见识有限才会如此惊讶。”,辩证,迈克尔·帕特里克·金,《破产姐妹》
2,嘲笑者,辩证,芥川龙之介,《侏儒的话》
3,我们的悲剧是因为年轻，或者因为训练不足，以及在把握住良心之前，遭受到无耻之徒的非难。,辩证,芥川龙之介,《侏儒的话》
4,我们所生活的世界本身就是由草根组成的，草根生活并不是隐藏在黑暗中的，它组成的是我们最真实的生活。,辩证,于坚,
5,自然界的一切归根到底是辩证地而不是形而上学地发生的。,辩证,恩格斯,
6,辩证法是关于普遍关系科学。,辩证,恩格斯,
7,蔑视辩证法是不能不受惩罚的。,辩证,恩格斯,《反杜林论》
8,大家都不想活的时候，生命的力量是会爆发的。,辩证,郭沫若,《郭沫若诗歌》
9,社会向文学提供素材，文学向社会提供规范。,辩证,郭沫若,《郭沫若诗歌》
10,爱其子而不教，犹为不爱也；教而不以善，犹为不教也。,辩证,黄宗羲,《黄宗羲全集》
11,一个人越懒，明天要做的事越多。,辩证,塞缪尔·约翰逊,《诗人传》
12,每件事都看它最好一面的习惯，比一年一千磅还有价值。,辩证,塞缪尔·约翰逊,《诗人传》
13,一般地说来，教育学是最辩证、最灵活的一种科学，也是最复杂、最多样化的一种科学。,辩证,马卡连柯,《马卡连柯教育文集》
14,教育过程的辩证性要求教师必须对整个的方法体系有充分的注意。方法体系本身永远不应当是死的东西，不应当是凝固的东西，它应当永远变化着，永远发展着，尤其是因为儿童在成长着，进入社会和个人发展的新阶段，而且我们的国家也在成长着、变化着。,辩证,马卡连柯,《马卡连柯教育文集》
15,官达者，才未必当其位；誊美者，实未必副其名。,辩证,葛洪,《佚名》
16,让心智觉悟，让意志坚定，让目标高远，让汗水畅流，铸造辉煌人生。,辩证,,
17,人活着，就应该做点有意义的事情。不然，和动物有什么区别！,辩证,,
18,我发现一边是一种平衡，相对的另一边也是一种平衡，,辩证,惠特曼,《草叶集》
19,人类的辩证法到了释迦牟尼佛的时候才真正成熟。,辩证,马克思,《资本论》
20,任何一个人，如果眼中闪烁出一丝聪慧、脸上笼罩着一抹灵魂的阴影，那么他就是一个隐藏的刺客。只有白痴才是清白无辜的。,辩证,奥尔罕·帕慕克,《我的名字叫红》
21,与其说昏暗而看不见，毋宁说在黑暗中的记忆里见得更清楚。,辩证,川端康成,《千只鹤》
22,实际上，梦是一种愿望的达成。,辩证,弗洛伊德,《梦的解析》
23,用起傻瓜这个字眼来，人们总是挺慷慨大度，一天之间可以把它奉送给诸亲好友有二十回之多。一个人只消在十个方面中间有一个方面显得愚蠢，这就足够被人认定是傻瓜了，不管他还有九个方面是好的。,辩证,果戈理,《死魂灵》
24,无论如何，对于什么是我真正感兴趣的事情，我可能不是确有把握，但对于什么是我不感兴趣的事情，我是确有把握的。而他对我说的事情恰恰是我所不感兴趣的。,辩证,阿尔贝·加缪,《局外人》
25,什么时候我们能责备风，就能责备爱。,辩证,叶芝,《叶芝诗选》
26,我们爱人们，与其说是为了他们对我们所做的好事，毋宁说是为了我们对他们所做的好事。,辩证,列夫·托尔斯泰,《战争与和平》
27,如果那些不道德的人聚集在一起可以形成一股力量的话，那么正直的人也应该这样去做。,辩证,列夫·托尔斯泰,《战争与和平》
28,我喜欢黑色。因为它可以隐藏住自己不想被人知道的一面。不过，基于同样的理由，黑色也是我最不喜欢的颜色。,辩证,青山刚昌,《名侦探柯南》
29,好与坏并不是绝对的，只不过是主观意愿而已。,辩证,谏山创,《进击的巨人》
30,"一个人需要的东西愈少，他的幸福就愈大,一个人的愿望愈多，他的自由就愈少。",辩证,高尔基,《我的大学》
31,是啊，要用死来拯救死！死就意味着让人复活。,辩证,高尔基,《母亲》
32,越是美好的东西就越会日益的显现出它的极端两极化，有多少得到就有多沉重的失去，有多少快乐就有多少伤心在等着你，这种感觉让人有种并不莫名的焦虑。,辩证,徐静蕾,《佚名》
33,越是美好的东西就越会日益的显现出它的极端两极化，有多少得到就有多沉重的失去，有多少快乐就有多少伤心在等着你，这种感觉让人有种并不莫名的焦虑。,辩证,徐静蕾,《佚名》
