,text,tag,author,from_book
0,如果身心带宽足够，双重生活、三重生活，都是正路。,道理,冯唐,《活着活着就老了》
1,形容不如权势，权势不如态度。,道理,冯唐,《活着活着就老了》
2,文字上的伟大不是来自题材的宏大和叙事的雄伟，反而是来自小人物琐碎事里透出的恒久微光。,道理,冯唐,《活着活着就老了》
3,无事此静坐，一日若两日。若活七十年，便是百四十。,道理,冯唐,《活着活着就老了》
4,如果有人要求你提供新产品，那么这个人是地球上对这一产品唯一感兴趣的人的概率为零。如果有人向你提出这样的要求，那么这背后就可能代表了一个巨大的机会。,道理,苏世民,《苏世民：我的经验与教训》
5,得8分的人是任务执行者，得9分的人非常擅长执行和制订一流策略。如果公司都是9分人才，就可以获得成功。但10分人才，无须得到指令，就能发现问题，设计解决方案，并将业务推向新的方向。,道理,苏世民,《苏世民：我的经验与教训》
6,追求高难度目标，有时难免会事与愿违、不得其所。这是志存高远的代价之一。,道理,苏世民,《苏世民：我的经验与教训》
7,如果你看到一个巨大的变革性机会，不要疑虑其他人为什么没有采取行动。你可能看到了他人没有看到的东西。问题越严峻，竞争就越有限，对问题解决者的回报就越大。,道理,苏世民,《苏世民：我的经验与教训》
8,于是，我向自己保证，如果我经营一个组织，一定会尽可能降低人们与我见面的难度，我会一直实事求是，无论情况多么困难，只要你能够保持诚实、理性，能够解释自己的想法，就没有理由感到不自在。再聪明的人也无法单独解决所有问题，但是一群聪明的人如果能够彼此坦诚地沟通，就会战无不胜。,道理,苏世民,《苏世民：我的经验与教训》
9,问题越困难，解决方案越少，你的建议就越有价值。为人人避之不及的问题提供解决方案，才是竞争最小、机会最大的领域。,道理,苏世民,《苏世民：我的经验与教训》
10,最优秀的高管不是天生的，而是后天磨砺的结果。他们好学不倦，永无止境。要善于研究你生活中取得巨大成功的人和组织，他们能够提供关于如何在现实世界获得成功的免费教程，可以帮助你进行自我提升。,道理,苏世民,《苏世民：我的经验与教训》
11,尽可能雇用10分人才，因为他们会积极主动地感知问题、设计解决方案，并朝着新方向开展业务。他们还会吸引和雇用其他10分人才。10分人才做什么事都会得心应手。,道理,苏世民,《苏世民：我的经验与教训》
12,失败是一个组织最好的老师。开诚布公地客观谈论失败，分析问题所在，你就会从失败中学到关于决策和组织行为的新规则。如果评估得当，失败就有可能改变一个组织的进程，使其在未来更加成功。,道理,苏世民,《苏世民：我的经验与教训》
13,人们总觉得最有意思的话题就是与自己相关的话题。所以，要善于分析他人的问题所在，并尝试提出办法来帮助他人。几乎所有的人，无论他声名多么显赫、地位多么高贵，都愿意接受新的想法，当然，前提是这些想法必须经过深思熟虑。,道理,苏世民,《苏世民：我的经验与教训》
14,我发现人不可貌相。萨姆所谓的“有一些房产”，足以打造美国最大的房地产投资组合。那天他告诉我，他收购了一些破产的房地产企业，想建立一个帝国。我们坐在地板上聊了两个半小时。之后的几年，我们共同开展了大量业务。这个曾经的不速之客成了黑石宝贵的客户。,道理,苏世民,《苏世民：我的经验与教训》
15,我刚入职雷曼兄弟的时候，刘易斯·格卢克斯曼遇到了我，他因为我坐得不直对我大喊大叫。但随后，别人告诉他我是有潜力的，他便给我安排了工作。在一家550名员工的公司里，这是有可能发生的。但如果公司有20 000人，管理者发现优秀年轻人的难度就会大大增加。,道理,苏世民,《苏世民：我的经验与教训》
16,要坦率。不要害怕谈论自己的想法。不要只想着给面试官留下深刻印象，而要更多地关注如何进行开放坦诚的交流，直言不讳地发表自己的见解。,道理,苏世民,《苏世民：我的经验与教训》
17,处于困境中的人往往只关注自己的问题，而解决问题的途径通常在于你如何解决别人的问题。,道理,苏世民,《苏世民：我的经验与教训》
18,每个企业都是一个封闭的集成系统，内部各个组成部分性能独特却又相互关联。优秀的管理者既洞悉每个部分如何独立运行，也熟知各部分之间如何相互协作。,道理,苏世民,《苏世民：我的经验与教训》
19,再聪明的人也不能解决所有问题。聪明人组成的开诚布公的团队却可以无往而不利。,道理,苏世民,《苏世民：我的经验与教训》
20,三千年读史，不外功名利禄；九万里悟道，终归诗酒田园。,道理,南怀瑾,《佚名》
21,如何是独乐乐——无事此静坐，一日是两日。 如何是与人乐乐——与君一席话，胜读十年书。 如何是众乐乐——此中空洞原无物，何止容卿数百人。,道理,南怀瑾,《论语别裁》
22,天下的事，没有突变的，只有我们智慧不及的时候，才会看到某件事是突变的，其实早有一个前因潜伏在那里。,道理,南怀瑾,《论语别裁》
