,text,tag,author,from_book
0,一念花开，君临天下。,霸气,辰东,《遮天》
1,这一世只要我还活着，谁都不能伤你一跟指头。,霸气,辰东,《遮天》
2,帝路，是一条不归路，只能前行，落后一步，就意味著血染黄土，唯有踏著诸王的尸体前进，一路高歌到底。,霸气,辰东,《遮天》
3,什么是至尊？世上只有一位！,霸气,辰东,《遮天》
4,我守护的，不是你身后的王位，是天下太平。,霸气,宋晋川,《上阳赋》
5,于后世千秋万代，每一户人家的窗台，我大秦明月必能照之！,霸气,孙皓晖,《大秦赋》
6,唯有天下统一，才可开拓万世太平。,霸气,孙皓晖,《大秦赋》
7,王者无畏，不靠言语啰嗦。,霸气,乔治·马丁,《冰与火之歌》
8,既以血始，必以血终。,霸气,乔治·马丁,《冰与火之歌》
9,虚假的国王，躲藏在虚假的王冠之下，真正的王者，为所欲为。,霸气,《英雄联盟》,
10,有人对我闻风丧胆，有人对我顶礼膜拜，他们都同样臣服。,霸气,《英雄联盟》,
11,无论抵抗还是放弃，你的结局都一样。,霸气,《英雄联盟》,
12,无知的人们膜拜神灵，而他们，终将懂得膜拜我。,霸气,《英雄联盟》,
13,我挥起铁拳，征服所有生者。,霸气,《英雄联盟》,
14,我在灰烬之中，建立起了死后世界的王国，任何人，任何神，都无法阻止我，夺回属于自己的东西。,霸气,《英雄联盟》,
15,弱者在光明中瑟缩，我带来永恒的黑暗。,霸气,《英雄联盟》,
16,麒麟一笑，阎王绕道。,霸气,南派三叔,《盗墓笔记》
17,吾王起灵归来日，尔等俯首称臣时。,霸气,南派三叔,《盗墓笔记》
18,宁在直中取，不在曲中求，非为锦麟设，专钓王与侯。,霸气,许仲琳,《封神演义》
