,text,tag,author,from_book
0,我活着，就要只手遮天，我死后，哪管它洪水滔天！,霸道,何马,《藏地密码》
1,我为天帝，当镇杀世间一切敌！,霸道,辰东,《遮天》
2,丧家野犬，天下无敌。,霸道,愤怒的香蕉,《赘婿》
3,你的人生，归我了。,霸道,饶晓志,《人潮汹涌》
4,人妖两界，若不归顺于我，都要死。,霸道,李蔚然,《侍神令》
5,一介凡人，竟敢弑神！,霸道,路阳,《刺杀小说家》
6,我愿意的时候，管它什么地方，我都可以结婚。,霸道,杜拉斯,《情人》
7,有我在，你不必理睬任何人，听清楚，记住了，除了我，不准你在乎任何人。,霸道,饶俊,《醉玲珑》
8,你活着时爱谁无所谓，总之你死的时候，只能跟我埋在一起。,霸道,李木戈,《暗恋橘生淮南》
9,勤奋出贵族。,霸道,约翰·洛克菲勒,《洛克菲勒写给儿子的38封信》
10,年轻就是好，正如人们一度都想要有钱一样，现在人人都想变得年轻或显得年轻。……苏格拉底曾经写道：“我们的青年现在喜爱享受。他们没有礼貌，蔑视权威，不尊敬长者。当今的儿童成了霸道的人。”……真正的问题应该是：希腊后来怎样了？罗马后来怎样了？或者，任何由约束自己而变成放纵自己的文化后来都怎样了？,霸道,威廉·曼彻斯特,《光荣与梦想》
11,有一天逛街看中一条印花长裙，欢天喜地地试给他看，他摇头说不好看，不由分说拉着我就走，回到车上还数落我：“不是钱的问题，好看多贵我都给你买。”,霸道,乔一,《我不喜欢这世界，我只喜欢你》
12,不要让青少年有判断力。只要给他们汽车摩托车明星、刺激的音乐、流行的服饰，以及竞争意识就行了。剥夺青少年的思考力，根植他们服从命令的服从心。让他们对批判国家、社会和领袖抱着一种憎恶。让他们深信那是少数派异端者的罪恶。让他们认为想法和大家不同的就是公敌。,霸道,希特勒,《我的奋斗》
13,“能打败我的只有我自己，不是你赢了，而是我小丑不想玩了”,霸道,克里斯托弗·诺兰,《蝙蝠侠：黑暗骑士》
14,当用牙齿咀嚼苹果时，你们应在心中对她说：“你的总之将在我身体里存活，你明日的蓓蕾激昂在我心中绽放。”,霸道,纪伯伦,《先知》
15,于是就有叹息，因压抑而更深邃，还有偷偷的一瞥，因偷觑而更甜美，还有火一般的羞红，尽管不是出于犯罪。,霸道,拜伦,《唐璜》
16,女王从不迟到，只是你们早到了而已。,霸道,吉娜·温德科斯,《公主日记》
17,小孩，你认为我会害怕这些简单的硫磺、木炭粉、硝酸钾混合物?事实上，我曾经拆除过相当于这个一百分倍分量的模拟炸弹。,霸道,丁墨,《他来了，请闭眼》
18,太阴现，千世缘，地阴天煞，各显威严！,霸道,,
19,玄天之镜，万物皆显，残魂缺魄，是为逆天；玄天镜内，玄天神剑，残缺尽毁，不容逆天。,霸道,,
20,车子只是代步工具，不必把它看作硕大的勋章或者族徽。,霸道,毕淑敏,《恰到好处的幸福》
21,我不管，我说一个就一个,霸道,《中餐厅》,
22,我不管几个，我要全部搞定，我再说一遍，全部搞定，不要再问我几个，全部，听懂了吗?全部搞定,霸道,《中餐厅》,
23,在干嘛呢?好了都别弄了，把手里东西放了，我们都过来讨论一下,霸道,《中餐厅》,
24,要不我觉得你别干了吧,霸道,《中餐厅》,
25,都听我的，我不管你怎么想，都听我的,霸道,《中餐厅》,
26,这个问题不需要商量，都听我的,霸道,《中餐厅》,
27,我不觉得这是个问题,霸道,《中餐厅》,
28,这是你的问题，你必须要解决。,霸道,《中餐厅》,
29,你们不要闹了，就这样，都听我的。,霸道,《中餐厅》,
30,我不要你觉得，我要我觉得。,霸道,《中餐厅》,
