,text,tag,author,from_book
0,现在委屈自己，老了就被自己的怨恨给纠缠，更苦，想做就去做。,鼓励,林君阳,《我们与恶的距离》
1,"不过，只有一点你要记住，我要你记得现在到底是为什么而决定进一步的，就算现在钱不多，你也过得很开心，你只是想有个煎饼摊，证明自己可以做成很多事情，这才是我认识的云竹姑娘。如果将来有一天，走的太快，你要记得你现在的心情，该停就停，该退就退，不要勉强，免得到最后反倒舍本逐末,忘了自己要什么。握不住的沙，随手扬了它。即便回到现在这里，你也没有失去什么.....",鼓励,愤怒的香蕉,《赘婿》
2,天一天努力干吧，以今天一天的勤奋就一定能看清明天。这个月努力干吧，以这一个月的勤奋就一定能看清下个月。今年一年努力干吧，以今年一年的勤奋就一定能看清明年。就这样，每一瞬间都会过得非常充实，就像跨过一座座小山。小小的成就连绵不断地积累。,鼓励,稻盛和夫,《干法》
3,哪怕是无能为力的事，那也只是现在的自己无能为力，将来的自己一定能行，用“将来进行时”考虑是很重要的。应该相信自己还有潜能，等待机会唤醒、迸发出来。,鼓励,稻盛和夫,《活法》
4,好好写下去，不负此生，不负己心。,鼓励,七堇年,《尘曲》
5,不要放弃，对自己的思索，对自己的真实。,鼓励,李芳芳,《无问西东》
6,你别怕，我就是那个给你托底的人，我会跟你一起往下掉。不管掉得有多深，我都会在下面给你托着。我最怕的是，掉的时候你把我推开，不让我给你托着。,鼓励,李芳芳,《无问西东》
7,我负责治病，你负责相信我。,鼓励,韩延,《滚蛋吧！肿瘤君》
8,你就是你自己的导师。你现在比过去岁数大，而且也可以说比过去更有智慧。你可以审视自己过去作过的决定以及这些决定带来的结果。认真审视你以前的决定可以让你学到很多东西，比你从任何人那里学到的都要多。,鼓励,斯宾塞·约翰逊,《谁动了我的奶酪？》
9,你呀，得去干点你这个年龄该干的事情，多出去看看，多走走!,鼓励,韩延,《送你一朵小红花》
10,你的身体不光是属于你的，还是属于我们的。,鼓励,韩延,《送你一朵小红花》
11,不要妄自菲薄，即使一根废柴点燃后也能够发光发热，何况你比废柴要强上一些呢。,鼓励,辰东,《完美世界》
12,这天地间没有破不了的局，只要你永不屈服，敢与天抗，一切皆有可能发生 。,鼓励,辰东,《神墓》
13,如果某日，你摔落悬崖，掉落山洞，不要惊慌，往前走两步，或许，你，将成为强者！,鼓励,天蚕土豆,《斗破苍穹》
14,修炼天赋，你并不欠缺，你所欠缺的，是铁与血的历练,鼓励,天蚕土豆,《斗破苍穹》
15,不要太过在意别人的目光，你只要记得，你不是为别人而活着，你为的，是你自己。,鼓励,天蚕土豆,《斗破苍穹》
16,不论你们从事何种职业，都不要被非难和无聊的怀疑主义所动摇，不要自己因国家所经历的一时忧患而沮丧。,鼓励,巴斯德,《佚名》
17,做学问要花功夫，持之以恒，日积月累。,鼓励,吴玉章,《佚名》
18,你们必须向前人学习，必须掌握人类已经取得的最优秀的成果，然后再由此推陈出新。,鼓励,加里宁,《佚名》
19,在人生的道路上，当你的希望一个个落空的时候，你也要坚定，要沉着。,鼓励,朗费罗,《佚名》
