,text,tag,senti_polarity
0, ⊙谦逊是难在诗人中发现的一种美德，因为每一个诗人都认为他自己是世界上最伟大的人物。——[西班牙]塞万提斯,乐观,positive
1, 伟人之所以成为伟人，成功者之所以成功者，别无他样，他们所不同的是：百般磨难心不死，屡经穷困志不穷。,乐观,positive
2, 坏脾气，破坏人际关系，影响健康，生气将会污染生命。脾气太坏的人，命运之神不会照顾你的。所以，要争气不生气，不伤元气，成得大气。遇事冷静，思成而行，少走弯路，增大成功的几率。 ,乐观,positive
3, ⊙困难与挫折总是欺软怕硬。害怕它们的人是不会长大的。而每当你勇敢地战胜它们后，你就会发觉自己又长大了。,乐观,positive
4, 逆境是人生的摇篮，磨炼是成功的良伴，挫折是英才的乳汁，失败是胜利的基石。,乐观,positive
5, ⊙一个人倘若能够持之以恒，十年如一日地专心致志，必成大器。[日]武者小路实笃《人生论》第40页。,乐观,positive
6, 谁是未来十年里的成功者，狮子一样的野心，老虎一样的活力，牛一样的勤奋，十年至少经历三到五次，巨大挫折而依然站立。恭喜您。这就是您。,乐观,positive
7, 相信在不同的季节收获不同的果实，面对成功，学会了平与；面对失败，学会了淡然处之。内心因为丰盈而宽容，这是人生最大的收获。,乐观,positive
8, ⊙天空如此广阔，自己多么渺小。于是，便向往那个广阔的天地。尔后，眼中的一切一切不再渺小。,乐观,positive
9, ⊙当一个人的智慧使他骄傲得不愿流泪，庄严得不愿露出笑容，除了自己以外眼中看不见别人的时候，他的智慧便不成其为智慧了。也要知道那大殿的角石，并不高于那最低的基石。一纪伯伦,乐观,positive
10, ⊙我崇拜勇敢、坚韧和信心。因为他们一直助我应付我在尘世生活中所遇到的困境。——[意大利]但丁,乐观,positive
11, 只想过别人对自己的影响，却从未考虑过自己对别人的影响，这缘于你的不智，幼稚，还有不成熟。,乐观,positive
12, 要想成为强者，既不能绕过挡道的荆棘，也不能回避风雨的冲刷。,乐观,positive
13, 我们要取得进步、要取得成功、要有所成就就要继续的往前奔跑，就要屏弃我们诸多的传统观念，那么你就要勇于去发现这个世界中更为绚丽的色彩，当你真正的做到这个才有容乃大。,乐观,positive
14, 生气的时候，开口前先数到十，如果非常愤怒，先数到一百。——杰弗逊,乐观,positive
15, 滑板运动以滑行为特色，崇尚自由的运动方式，体验与创造超重力的感受，给滑者带来成功与创造的喜悦。,乐观,positive
16, ⊙糟糕的举止会搞糟一切，包括理性和正义；良好的举止会弥补一切，它使“不”字带上金色，使真理变甜蜜，使老年本身增加三分美丽。一格雷辛,乐观,positive
17, ⊙人类之所以充满希望，其原因之一就在于人们似乎对正直具有一种近于本能的识别能力——而且不可抗拒地被它所吸引。——阿瑟·戈森,乐观,positive
18, 要善于学用新技术。你想当一名作家，但在当今时代作家欲获成功也必须不断学用并掌握新技术技能才行，如作家必须同时成为一名计算机文字处理员、打字员、网上发行员才那能获得成功。,乐观,positive
19, 学习中经常取得成功可能会导致更大的学习兴趣，并改善学生作为学习的自我概念。,乐观,positive
