,text,tag,senti_polarity
0,我们明明不是陌生人，却装的比陌生人还陌生。,伤心,negtive
1,曾经以为，伤心是会流很多眼泪的；原来真正的伤心，是流不出一滴眼泪。,伤心,negtive
2,人生就像剥洋葱，总有一片会让人流泪。,伤心,negtive
3,离开你的那一天开始，左心房渐渐停止跳动。,伤心,negtive
4,我们，和那些关于我们的回忆，原来都只是笑话。 ,伤心,negtive
5,有一种想念，叫避而不见。,伤心,negtive
6,不主动就会失去，但主动多了真的好累。,伤心,negtive
7,有时候，受了委屈，本来不想哭，可是只要别人一问你怎么了，就会忍不住地流眼泪。,伤心,negtive
8,如果哪天，你能够走进我的心里，你可以发现，这里面百分之九十九的伤都是你赐予的。,伤心,negtive
9,不管你爱过多少人，不管你爱得多么痛苦或是快乐，最后不还是学会了怎样恋爱，而是学会了,伤心,negtive
10,学不会放下，学不会坚强，学不会感动，只学得会看着别人的故事流着自己的泪。,伤心,negtive
11,主动久了会很累，在乎久了会崩溃，沉默久了会受罪，想念久了会流泪。,伤心,negtive
12,对不起，不是我不在爱你，而是你从来没给过我爱你的机会。,伤心,negtive
13,曾被爱伤得彻底才把自己关的那么紧。,伤心,negtive
14,多希望死亡只是身上的一个按钮，一按即去，不痛不痒。,伤心,negtive
15,请不要在我说“我爱你”时，换来了一句：“对不起”！,伤心,negtive
16,既然他已远去，又何苦用时间来欺骗自己。,伤心,negtive
17,请不要在我说“我爱你”时，换来了一句：“对不起”！,伤心,negtive
18,不是不关心，只是不敢问，害怕知道你的一切。,伤心,negtive
19,只是希望能有个人，在我说没事的时候，知道我不是真的没事；能有个人，在我强颜欢笑的 ,伤心,negtive
20,左眼没有见过右眼一面，不懂安慰只懂陪它落泪。,伤心,negtive
21,有没有那么一个人一想起他，心里就难受。有没有那么一个人一想起他，心里就堵挺。,伤心,negtive
22,也许我真的傻到无药可救，明知道你不爱我，我还不愿回头。,伤心,negtive
23,当遗忘变成另一种开始，淡了回忆，痛最真实。,伤心,negtive
24,深呼吸，练习忘记你。,伤心,negtive
25,被全世界抛弃又怎样，我还有我自己，我爱我自己。,伤心,negtive
26,有没有这么一个人，你无数次说着要放弃，但终究还是舍不得。,伤心,negtive
27,惹不起，我躲的起。我宁愿一个人躲的远远的，最起码流的泪会少点，心疼的会轻点。,伤心,negtive
28,别等不该等的人，别伤不该伤的心。有些人，注定是生命中的过客；有些事，常常让我们很无,伤心,negtive
29,有多少人，经常在夜晚一个人躲在角落里、偷偷抱着自己哭。然后第二天依旧嘻嘻哈哈的、假装,伤心,negtive
30,你不回复我的时候，我一直在默默等你回复我。,伤心,negtive
31,最初不相识，最后不相认。,伤心,negtive
32,如果爱情只是路过，又何必到此一游。,伤心,negtive
33,每个人都有一个死角，自己走不出来，别人也闯不进去。,伤心,negtive
34,她说：“你会找到一个比我更好的人。”我微笑说：“但我不会再对人这么好了。”,伤心,negtive
35,可能我只是你生命里的一个过客，但你不会遇见第二个我。,伤心,negtive
36,真正的孤独不是一个人寂寞，而是在无尽的喧哗中丧失了自我。,伤心,negtive
37,我多希望有一天你会像我需要你一样需要我。,伤心,negtive
38,我做过最勇敢的事情，是微笑着听人说你和她的爱情。,伤心,negtive
39,生命中有一些人与我们擦肩了，却来不及遇见；遇见了，却来不及相识；相识了，却来不及熟悉；熟悉了，却还是要说再见。对自己好点，因为一辈子不长；对身边的人好点，因为下辈子不一定能遇见。,伤心,negtive
40, 如果不爱请离开，越远越好，我就不信找不到一个人代替你。,伤心,negtive
41, 不爱一个人就要全心全意的离开，不给自己任何转圜的余地。,伤心,negtive
42, 臣妾没有离开君。是君丢下了臣妾。臣妾只好一个人去流浪。,伤心,negtive
43, 找不到你的影子，我就离开了。要躲一个人，就像这样容易。,伤心,negtive
44, 你不能一个人离开，因为我一个人走不完这颠沛流离的人生。,伤心,negtive
45, 不是有那么一个人，一直住在你的心里面，从来不曾离开过。,伤心,negtive
46, 曾经多渴望与一个人长相厮守，后来，多么庆幸自己离开了。,伤心,negtive
47, 越是不愿显露自己的身影，越是没有一个人能离开你的身影。,伤心,negtive
48, 其实一个人照样可以过得很好，毕竟谁离开了谁都照样能活。,伤心,negtive
49, 有一天你离开，有一天你移了情，剩下我一个人，该怎么办？,伤心,negtive
50, 我不知道自己在执拗着什么，明明知道没有结果还是不离开。,伤心,negtive
51, 我一直都在自欺欺人，骗自己你还在，骗自己你还没有离开。,伤心,negtive
52, 我怎么才能够，让自己慢慢习惯，你离开的模样，太过倔强。,伤心,negtive
53, 习惯了保留自己，因为只有这样在离开的时候，心才不会痛。,伤心,negtive
54, 答应我，照顾好自己，不要让我担心，那么，我就会离开的。,伤心,negtive
55, 有时离别是为了更好地相聚，离开是为了带最好的自己回来。,伤心,negtive
56, 直到遇见了你，我才感受到自己的存在，一直舍不得离开你。,伤心,negtive
57, 没有谁会永远爱谁，当你绝情离开了我，我如此来安慰自己。,伤心,negtive
58, 既然不合适又何必要选择受伤，勇敢的离开做回原本的自己。,伤心,negtive
59, 既然回不去，自己离开那个树干，掉下去也许还有一线生机。,伤心,negtive
60, 等待、不是因为你会回来..而是给自己一个不离开的理由。,伤心,negtive
61, 你要不要离开我是你自己的决定，我从来都没资格去挽留你。,伤心,negtive
62, 不再跟自己说谎，说好不见面，离开软弱的你，不用再害怕。,伤心,negtive
63, 常常全自己别太留恋你，留恋得太深，会难以面对你的离开。,伤心,negtive
64, 原来最艰难的路还是要自己走，原来不离开你的，就是爱人。,伤心,negtive
65, 总是自责着自己对你不够好，才让你不顾一切的非要离开我。,伤心,negtive
66, 你离开，我也不在乎，只是爱自己的心，一次又一次的伤害。,伤心,negtive
67, 那一次，我把自己交给了你，换来了你转身离开的默默无语。,伤心,negtive
68, 有时我真的很后悔。后悔在你离开将自己封闭起来直到现在。,伤心,negtive
69, 再高雅的诗人也得放屁，我们如若离开了自己就不再是诗人。,伤心,negtive
70, 在此刻你觉得无法离开的人或事，某天你会自己选择放弃它。,伤心,negtive
71, 人生路那么长，每个时刻都有人与自己邂逅同行，然后离开。,伤心,negtive
72, 你离开的那天，我把自己弄得伤痕累累，然后哭的天昏地暗。,伤心,negtive
73, 你的冷漠。不说分手，不说已不爱我，只是逼着我自己离开。,伤心,negtive
74, 我害怕一个人突然闯进我的世界，然后无情的、狠心的离开我。,伤心,negtive
75, 如果我的爱真的让你那么累，我宁愿背负所有的痛一个人离开。,伤心,negtive
76, 当一个人以冷漠对你，请迅速离开，谁也没有义务去讨好别人。,伤心,negtive
77, 好想，有那样一个人，可以结束这一切，带我离开这重重迷雾。,伤心,negtive
78, 会不会终有一天，鼓足一生的勇气，为了一个人，离开一座城。,伤心,negtive
79, 你头不会的离开，留下我们一起留下的尘埃，让我一个人落定。,伤心,negtive
80, 追求一个人的手法不需要太聪明，但离开的手法必须聪明绝顶！,伤心,negtive
81, 一个人，当你慢慢的习惯了他的陪伴、他却在这个时候离开了。,伤心,negtive
82, 永远不要把一个人当成你的全部，只要他离开，你就一无所有。,伤心,negtive
83, 不回头，是决心离开一个人时下的第一个、也是最艰难的决定。,伤心,negtive
84, 有一个人，说爱我，离开我，把我从天堂，地狱，那个人是你。,伤心,negtive
85, 有一个人，离开他的时候你笑了，但是一转身，早已泪流满面。,伤心,negtive
86, 你真的走了，而我也感觉到累了，是你离开了，剩我一个人了。,伤心,negtive
87, 懂得接纳，不论是接纳一个人的出现，还是接纳一个人的离开。,伤心,negtive
88, 我怜惜你，于是我爱上你，而我更怜惜我自己，于是我离开你。,伤心,negtive
89, 是不是我应该自觉离开，主动放手。或许还有自己的几分骄傲。,伤心,negtive
90, 谁也不是离开谁就活不下去的，所以，没有必要继续作践自己。,伤心,negtive
91, 太过为你着想了，所以就连自己离开的时候都显得那么的凄凉。,伤心,negtive
92, 当你离开了我，我用泪水来安慰自己，似乎眼泪之后微笑便至。,伤心,negtive
93, 如果你要离开我，我不会怪你，只能怪我自己，怪自己太爱你。,伤心,negtive
94, 我不会因为谁的离开，而影响到自己的生活，不论友情或爱情。,伤心,negtive
95, 人离开狭义的动物愈远，就愈是有意识地自己创造自己的历史。,伤心,negtive
96, 做最好的自己，只为迎接那个来到你生命就不再打算离开的人。,伤心,negtive
97, 知道你彻底离开，我才发现我曾经为你，已经越来越不像自己。,伤心,negtive
98, 终于有了放手的力度彻底的离开了他的世界决裂到自己都意外。,伤心,negtive
99, 也许我离开，你会找到另份甜蜜，也许我的诚恳可以找回自己。,伤心,negtive
