,text,tag,senti_polarity
0, 砰然的心碎，只有我会懂。,伤感,negtive
1, 一个人，就算再留念，如果你抓不住，就要适时放手，久了你会神伤，会心碎。,伤感,negtive
2, 放不下你是我活该你把我灌醉你让我心碎爱得收不回。,伤感,negtive
3, 二十多岁的女孩确实很迷人，直到你看到她身边有个曾让你心碎的男人。,伤感,negtive
4, 用心碎去拼情调，只好默默祈祷。,伤感,negtive
5, 只有心碎了，才能真正的做到冷酷无情。,伤感,negtive
6, 谁先承认爱的谁，先吃亏，谁最后离开的谁，最心碎。,伤感,negtive
7, 不管你如何心碎，世界不会为你的悲伤停驻。,伤感,negtive
8, 一曲离心碎，唱尽满城空。,伤感,negtive
9, 别问我为何如此冷落你，别问我为何总是将你的心碎了又补。,伤感,negtive
10, 你的冷漠比伤还伤，你的转身是我心碎的导火索。,伤感,negtive
11, 愿你多年之后心碎而死，只因思及于我。,伤感,negtive
12, 吵架的原因很可笑，却让我心碎。,伤感,negtive
13, 木棒会伤到到皮肉，恶语会伤到感情，而沉默有时却能让人心碎。,伤感,negtive
14, 心碎的声音，打破了夜的宁静。,伤感,negtive
15, 传说多少有缘人，前世皆为亲兄妹。奈何桥上走一回，今生却让君心碎。,伤感,negtive
16, 不堪设想的是，即便他令你心碎，你却仍然用粉碎的心爱着他。,伤感,negtive
17, 你不用觉得内疚，因为，我也会让你尝尝心碎的滋味。,伤感,negtive
18, 同时甜蜜与心碎。是你的幽默还是温柔。,伤感,negtive
19, 爱一开始就已结束，心碎就是遗物。,伤感,negtive
20, 让我喝醉，就别让我心碎。,伤感,negtive
21, 受多大委屈都不忍离去，心碎了也要努力着拼凑起，还不是不放心。,伤感,negtive
22, 别人劝百回，千回，不如自己心碎一回，那一刻才会真正的放下。,伤感,negtive
23, 我看到你和她的聊天记录上你发给她的我想你了，而我心跟着心碎了。,伤感,negtive
24, 今天太倒霉了，我的心碎的跟饺子馅似的。,伤感,negtive
25, 我不唱热血沸腾的情歌不展示没存心碎的时辰。,伤感,negtive
26, 风吹无痕，心碎无声。,伤感,negtive
27, 太多人心碎，大多人喝醉，大多太多人无路可退。,伤感,negtive
28, 心碎了一地，本想捡起来，却被扎伤了手。,伤感,negtive
29, 我断肠，如我心碎，免不了的是那久别沧桑的寂寞，等待是无言的结局。,伤感,negtive
30, 我的心碎了多少次？？心没碎的时候只会觉得很疼、碎了之后；没有疼痛、只是暗自落泪。,伤感,negtive
31, 心很痛丶说不出来的痛丶说不出来的难过丶说不出来的伤心丶说不出来的心碎。,伤感,negtive
32, 原来心碎的声音这么好听，臣妾贪婪地在心中重播一次有一次，然后笑了起来。,伤感,negtive
33, 一句对不起，听的人不是流泪了，就是心碎了。,伤感,negtive
34, 我决定放弃的那一瞬间，心碎，你听得见。,伤感,negtive
35, 有些事情心碎是没用的，因为任何人都改变不了。,伤感,negtive
36, 心脏是个很特别的器官，是不能思考太多的，思考太多就当然会心碎的。,伤感,negtive
37, 失心，空心，最后便心碎了。,伤感,negtive
38, 心事缠绵，音乐不断，听到心碎的声音，就在心口的地方。,伤感,negtive
39, 幻想之后总会撞到现实，或悲或喜或心碎。,伤感,negtive
40, 所有人都老了，再没人死于心碎。,伤感,negtive
