,text,tag,senti_polarity
0, 当我决心离开，谁都阻止不了我，就像当我决定要留下来，也就没有任何人能把我带走。,失望,negtive
1, 假如有一天你决定离开我了。请提前告诉我，好让我有时间取消你在我未来的一切预订。,失望,negtive
2, 不爱你的人，因为你是你而离开你。真正爱你的人，因为你是你而无法抑制地更加爱你。,失望,negtive
3, 我曾经天真的以为，离开了你我就可以忘记你，后来，我发现，离开只是一个新的开始。,失望,negtive
4, 原来世界上真的没有什么是永远，一段友情，离开了就淡了，一段爱情，分离了就散了。,失望,negtive
5, 男男女女、情情爱爱，不强求不挽留，未来、谁也决定不了。该放手的放手该离开的离开。,失望,negtive
6, 到了我该离开的时候，空气新鲜吧天更蓝了吧。路边的风景更美了吧。你一定这样觉得吧。,失望,negtive
7, 有一种爱如果有一天我离开人世，那一定是你狠心将我抛弃。我会恨你，恨到来生再相许。,失望,negtive
8, 虽然有时候会对他的行为诸多抱怨，但他要真正离开的时候，才会发觉心里还是有点不舍。,失望,negtive
9, 如果你为他不知哭了多少次，菇凉离开他吧，他不爱你，真正爱你的人怎么舍得让你哭泣。,失望,negtive
10, 是不是只有当我们真正的离开了这个学校，这个教室，才会真正的去怀念当初的点点滴滴。,失望,negtive
11, 我很遗憾因为在你离开之前我没有认真的和你告别，没有在你的校服上签上我大大的名字。,失望,negtive
12, 女人，你如果真的不爱我，我可以放你离开。男人，我如果真的不爱你，就不会为你奔波。,失望,negtive
13, 我想我会就这样等一去，等你能明白我是那么深爱着你，你离开的决定造成了我一生的悲剧！,失望,negtive
14, 当你决定要离开我的那刻，才感觉心碎象打烂的玻璃，我不强求你留下，再没人比我更爱你！,失望,negtive
15, 如果她的前20年都过得太多愁善感，这绝对是她最冷静的一次，她决定离开他，越早越好。,失望,negtive
16, 既然已经已经决定要离开我，就别再回头给我什么安慰，你的每一次安慰都是在伤口上撒盐。,失望,negtive
17, 人的心是一座浮岛，来来往往，有不断产生好奇想要靠岸的人，还有表示厌倦决定离开的人。,失望,negtive
18, 也许会有那么一天，当我的爱不幸成为你的负担，请你一定要告诉我，我会同样悄悄的离开。,失望,negtive
19, 因为每次离开都抱着永不回头的打算，所以最后一次离开的时候我才没有太多的伤心与难过。,失望,negtive
20, 假如有一天，我真正选择了离开，那么、对不起，不是想要你的挽留，而是对你真的死了心。,失望,negtive
21, 真正准备离开的人，只会挑一个风与日丽的下午，随意裹上一件外套出门，便再也不会回来。,失望,negtive
22, 那些对我们好或是不好的人，是不是只有当他们离开的时候，我们才能真正知道和看清楚呢。,失望,negtive
23, 那些真正要离开的人，他一身轻松的就像只是去楼下超市买罐饮料，虽然他再也没有回来过。,失望,negtive
24, 有些人有些事儿，从未真正的进入你的世界，也从未真正离开过你的视野，这就是一种陪伴。,失望,negtive
25, 我连做梦都梦到了他离开我。真是真的。有对象却不说话的孩纸们、我心疼你、因为我也是。,失望,negtive
26, 想明白了。爱，不是因为你也爱，是我真的爱。所以选择静静地离开，再也不扰乱你的世界。,失望,negtive
27, 毕业了，我们再也不能开玩笑了，再也不吵架了，真的舍不得离开你，离开你们，离开母校。,失望,negtive
28, 心痛的离开、还是无法释怀；纯真的恋爱、对我却是悲哀；至今还未明白、是爱或与不爱……,失望,negtive
29, 我曾怨天，也常尤人，如今，在你离开后的105天后，我决定找回那颗向上的心，和它合作。,失望,negtive
30, 我会开开心心过好每一天。下次遇到你我一定会告诉你，就算你离开姐了，姐还是活的好好的。,失望,negtive
31, 如果我还能再见你一面，我一定不会哭泣，我会轻轻地抱住你，在你离开之前告诉你我很爱你。,失望,negtive
32, 如果你爱她，请你告诉我，我会离开，我会一直在你背后等你回来，因为我知道你一定会回来。,失望,negtive
33, 说爱你的，并不一定真的对你有多深的感情。总是嚷嚷着让你滚的，并不一定真的舍得你离开。,失望,negtive
34, 相爱，是一场真心的对奕，从不怕辜负，我只怕我不能带给你快乐，若我不能，你一定要离开。,失望,negtive
35, 我离开你了，不是因为我不爱你，而是我希望你可以和你真正爱的人在一起，我知道那不是我。,失望,negtive
36, 对我真正在乎的人我从来不喜欢说很多矫情话，我只要你知道，只要你不先离开，我一直都在。,失望,negtive
37, 等你毕业离开上高中之后我真的挺担心，不是担心你，我担心的是，下一个倒霉的老师会是谁？,失望,negtive
38, 如果我离开你以后你能继续这样快乐天真的过下去，即使只是在远方默默的注视着你也足够了。,失望,negtive
39, 对于出轨的男人，如果真的离不开他，就给他一次机会，记住仅此一次，否则毫不犹豫离开他。,失望,negtive
40, 也许我真的离开了，永远成为别人的新娘时，你才会明吧原来我是那么的爱你。盼。菲很爱你。,失望,negtive
41, 臣妾曾经天真的以为，离开了君臣妾就可以忘记君，后来，（yipinjuzi.com整理）臣妾发现，离开只是一个新的开始。,失望,negtive
42, 当你决定离开我的那一刻起，我就已决定不再等你，决定忘记你，戒掉爱，一开始一段新的旅程。,失望,negtive
43, 如果他决定离开，就别再试着挽留了。失而复得的东西会恢复原来的样子吗？别傻了，根本不会。,失望,negtive
44, 女人，如果决定放手了，就干干脆脆离开，别犹犹豫豫走走又回头，那样对方只会更加看不起你！,失望,negtive
45, 做一个决定，却要痛一辈子，如果这一天迟早要来，那么现在就做好预算，在落泪之前转身离开。,失望,negtive
46, 阴郁会离开，没有过不去的坎，虽很累很疲惫，但姹紫嫣红的春天来了，丰硕的秋季也一定会来。,失望,negtive
47, 如果我选择了你，请好好珍惜我。如果你伤害了我，我选择离开，那时遗憾的人一定不只我一人。,失望,negtive
