,text,tag,senti_polarity
0, 不要浮躁，有空去旅行，去读书，用环境陶冶身心，用知识充实灵魂；不要后悔，只要是你选择的，就算再艰难再无奈，也要咬牙走下去。,无奈,negtive
1, 毕业了，心灰的季节，许多感伤。工作了，绝望的季节，许多无奈。我们不应该这样颓，给力点吧，相信只要山上有灯，灯下有人，就一定会有上山的路。相信自己。不做囧囧人。,无奈,negtive
2, 爱情是一个险恶的赌局，婚姻是一个无奈的残局。,无奈,negtive
3, 想你是一种甜蜜的优伤，一种痛苦的期待，是一种幸福的惆帐，更是一种不敢想又不能不想的无奈，当你不轻意的想起我时，我已经想你很久！你在我心中是最美。没认识你之前，我还不知道世界上有这样一个人，会让我茶不思，饭不想。不要怀疑，这就是你的魔力。我爱你这是唯一一句。,无奈,negtive
4, 很多时候，现实是无奈的，有很多东西我们无法选着，但我们却可以选着奋斗，虽然歧视与不公平制造了灰暗，但同时也催生了奋斗，所以，只要我们充满自信并挺直脊梁，就没有人能够让我们自惭形秽。,无奈,negtive
5, 一张张泛黄的老照片，是我对你的独家记忆。行走在回忆的城堡，我努力想要抓住那些珍藏的瞬间，却发现那一幕幕的美好如流沙般从指尖流过。我无奈的蹲在地上，静静的抱住自己，颤抖的肩膀告诉我，我真的好想你，真的好怀念那段有你陪伴的时光……,无奈,negtive
6, 人生，就是在路上经历过。做自己不想做的事又觉得很烦，那是痛苦。用快乐的心做不属于自己的事，那是智慧。做自己想做的事却又无奈，那是不知足。可以用快乐的心做自己想做的事，那叫幸福。,无奈,negtive
7, 【困惑】对于世界，我显得如此渺小；对于社会，我显得微不足道；面对现实，我感到非常无奈与困惑。灯火辉煌耀的我不知何去何从，都市的繁华却让我倍感凄凉。我像一粒尘埃飘浮在浩瀚的宇宙中，我不愿向命运低头却无力抗争。天地之大何处立足？人海茫茫心孤独。大千世界，找找觅觅，几度春秋几度愁。,无奈,negtive
8, 孩子们，现在觉得苦累，以后你们会知道让你们无奈服从现实的时候还很多，生活并不像你们想的那般简单无暇，请记住你们现在白衣蓝裤青涩的样子，那是你们想回也回不到的过去。,无奈,negtive
9, 在命定的光阴里，遇见心心念念的那个人，是一种眼角眉梢的幸福；在彷徨的罅隙问，遇见不曾相念的一个人，是一种黯然神伤的无奈；在丢失的光阴里，遇见梦寐以求的那个人，是一种肝肠寸断的悲伤；在忘却的罅隙间，遇见从未挂怀的一个人，是一种无能为力的折磨；于是，待到千帆过尽，再见沧海，徒余一段波澜不惊。,无奈,negtive
