,text,tag,senti_polarity
0,	【富含哲理的句子】在面临作决定时，首先，应先问问自己做这个决定到底是为什么？有什么目的？如果做此决定会产生何种后果？这样能促使你三思而后行，避免冲动。人生最大的痛苦是痴迷，人生最大的羞辱是献媚，人生最大的危险是贪婪。人生最大的烦恼是名利，人生最大的可恶是淫乱，人生最大的善行是奉献！喜爱别人的才能，莫如学习人家的勤奋，恭维别人的长处，莫如责备自己的短处！滴自己的汗，吃自己的饭，自己的事情自己做，才能做最好的自己。	,正能量,positive
1,"	昨天诚可贵，明天价更高，若为今天故，二者都要抛。人生只有三天，做人不能只停留在过去，或寄梦于未来，唯独忘记了最重要的现在!需要感谢生命中每个朋友,成就我生活中的每一天因过去的相处说声感谢,因未来的相助说声拜托,更想因一生一世的朋友说声友情永存!也许有些人很可恶，有些人很卑鄙。所以请原谅所有你见过的人，好人或者坏人。	",正能量,positive
2,	世界上的万事万物就像一个无仁的核桃，到处不见一点果仁，即使它真的存在，你也不可能在壳中找到它。你可以到别处去寻觅，通常只有碰巧才能找到它。“热爱生活，要多感谢它。别靠胆小躲避它的挑战来显示你的感激，而要尽力超越一点你所能的范围去生活，这样你就会发现，你的能力远比你梦想的要强得多。”	,正能量,positive
3,	有时候，同样的一件事情，我们可以去安慰别人，却说服不了自己。——每个人，在困惑苦闷的时候，都需要身边有朋友能够开解一下自己，其实，并非我们不懂得那些道理，只是我们特别需要听到别人把它再复述出来，以来验证和坚定那些道理的真理性。生活中会有各种各样的担当压在我们肩上，就算我们竭尽全力，也不可能把所有的问题都一肩扛，就像在一望无际的麦田里拾麦穗，前方可能会有更大更好的麦穗，关键是要拾起最适合自己的麦穗，理性的权衡，正确的取舍，才有可能收获最有价值的人生。	,正能量,positive
4,	【简单生活】幸福是什么？在我看来，幸福来源于“简单生活”。文明只是外在的依托，成功、财富只是外在的荣光，真正的幸福来自于发现真实独特的自我，保持心灵的宁静。如果通往成功的电梯出了故障，请你走楼梯，一步一步来。只要还有楼梯，或是任何梯子，通往你想去的地方，电梯有没有故障都是无关紧要的事了，重要的是你不断地一步一步往上爬。	,正能量,positive
5,	【哲理语录经典语录】有些东西，放弃绝非如嘴上说的那么轻易。幻想着的东西仿佛天际中的星星，永远也不可能摘下来的。你只有仰望着，用这种最费力的姿势，来遥望它的闪烁美丽。放手，真能够像松开一样物品那么简单吗？人生无完美，曲折亦风景。有时你觉得步履沉重，前行缓慢，或许那是在爬上坡路；别把失去看得过重，放下昨天，珍惜今天，心向未来。既然时光永不回头，人生亦当无悔。做好当下，是人生最好的选择。	,正能量,positive
6,	力能胜贫穷，谨能胜灾祸，祸难入慎家之门，严谨慎重，智慧之母，做大事业须慎其终始，慎终如始，则无败事，谨慎的人才能稳操胜券！古人箴言：“求名者，因好色欲而名必败；求利者，因好色欲而必丧利；居家者，因好色欲而家弃必荒；为官者，因好色欲而官业必堕”！勤奋努力，付出最终总会有回报；诚实守信，人格最终总会受尊重；宽容厚道，路子最终总会越宽广；心地善良，友情最终总会越来越深！	,正能量,positive
7,	我以为“隐身”别人就找不到我了，没有用的，像我这样的人，无论在哪里，都像漆黑夜里的萤火虫，够鲜明够出众。名望一闪即逝，钱财振翅而飞，走红是个意外，久长唯有人品。做事要先做人，做人要先先立德！压服比心服短命，权威比权势长寿。企图用钢丝来绑住对方的心，对方的心滑脱得更远。	,正能量,positive
8,	“圣人”的境界，有时不像我们想象的那么高不可攀——面对快乐守的品质。对自己的行为作出几种不同的解释时，我们就知道，自己正在掩饰某些东西。世上最宽阔的是海洋，比海洋更宽阔的是天空，比天空更宽阔的是人的胸怀。多余的财富只能够买多余的东西，人的灵魂必须的东西，是不需要花钱买的。	,正能量,positive
9,	以前提到结婚，想到：天长地久，现在提到结婚，想到：能撑多久。结婚前男人借钱也要让女人吃好，结婚后女人借钱也要让男人吃好。用加法的方式去爱人；用减法的方式去怨恨；用乘法的方式去感恩。时间就是这个样子，徜徉其中尚觉得慢，一旦定睛回望，弹指之间。沉默是应对所有问题的最佳答案，微笑是在所有情况下的最佳反应。关于过去，关于你，告一段落。关于未来，关于我，敬请期待。再铁的异性朋友，当无论谁谈上恋爱，距离都会拉远，这是个事实。为了一个你，我和多少人淡了关系。结果，你走了，他们也没了。	,正能量,positive
