,text,tag,senti_polarity
0, 这世界不会辜负每一份努力和坚持，时光不会怠慢执着而勇敢的每一个人。科学在发展，病魔难持久。,鼓励,positive
1, 这个年过的属实疲惫。我只希望疫情结束后我的人生能开启新的征程。让现在的所有统统随着疫情结束消失。,鼓励,positive
2, 当你觉得自己满怀希望，对未来充满信心，别人看到的就是有魅力，风华绝代的你。饭菜香，有火烤，封城封路没困扰。,鼓励,positive
3, 学会控制自己的情绪，学会伪装自己，不要让懦弱呈现，因为在别人眼里，我必须很坚强。不会友，不拜访，阖家欢乐享团圆。,鼓励,positive
4, 聪明人有时也会摔倒，但不会在同一地方摔倒第二次。不往人群挤，通风要确保。,鼓励,positive
5, 坚决贯彻落实党中央决策部署，紧紧依靠人民群众坚决打赢疫情防控阻击战。,鼓励,positive
6, 一切的和谐与平衡，健康与健美，成功与幸福，都是由乐观与希望的向上心理产生与造成的。2020不一般，全国各地抗疫情。,鼓励,positive
7, 人生有笑有泪，命运有起有落，都是寻常，不必抱怨，也不必惊慌，始终坚信，无论经历什么，清晨的阳光都会升起，你在，我在，岁月就会花开。,鼓励,positive
8, 你幸福，我守护！你病了，我更不能离开！坚·守致敬一线的战友！武汉加油！,鼓励,positive
9, 做坚强的女人，你终要学会长大，学会担当，学会独自承受即将面对的一切。减少放鞭炮，空气质量高。,鼓励,positive
10, 要是你不相信自己，或者怀疑自己，那是再糟糕不过了。防好控好安人心，健康第一莫大意。,鼓励,positive
11, 哪里的岁月静好，不过是有人替你负重前行罢了，每一个患者和一线人员的背后，都有一段感人的感情，没看一个故事，都会感动。致敬白衣天使！,鼓励,positive
12, 大兄弟，我想你啦！可怜]你最近过得好不好啊？你要好好照顾自己哦！可怜]期待春暖花开，我们再相约,鼓励,positive
13, 努力学习，勤奋工作，让青春更加光彩。——王光美食醋熏蒸常消毒，房间通风勤清扫；,鼓励,positive
14, 大海的落潮并不是怯弱的表现，而是为了再一次冲击。生熟要分开，肉蛋要煮熟。,鼓励,positive
15, 真正的机会也经常藏匿在看来并不重要的生活琐事中。实在还是想看看，微信视频红包转。,鼓励,positive
16, 聪明人跌倒一次，从中吸取教益，蠢人跌倒一次，从此不再爬起。只要防护做到位，其实是一纸老虎。,鼓励,positive
17, 提高疫情防控的科学性和有效性，凝聚起了众志成城、攻坚克难的强大正能量。,鼓励,positive
18, 深入基层，要带去党的理论政策主张，带回群众的意见诉求希望。众志成城，战胜疫情！,鼓励,positive
19, 没有一份工作是不辛苦的，也没有一个年纪是不应该努力的。人生就是取舍，要么拼，要么忍。诸位朋友听我言，往年忙得团圆转。,鼓励,positive
20, 生活越是艰苦，人就越发坚强；人越是坚强，生活也就变得越发简单。全国上下齐联动，大唐实验在行动。,鼓励,positive
21, 疫情结束了，做一切想做的事只跟着自己的心走，不再顾虑因为真的不知道明天和意外到底哪个先来无名的英雄们像你们致敬武汉加油，中国加油！,鼓励,positive
22, 在疫情面前，总有一些暖人的关怀牵动你我，总有一些朴实的感动直击人心。,鼓励,positive
23, 相信生活是美好的，相信人生是充满希望的，懂得人比钱重要，能用钱解决的问题都不是问题。只要病魔来驱散，来日方长再相见。,鼓励,positive
24, 待春风吹绿冥思大地，所有的旁白都遮不住海棠的红蕊、樱花的骨朵，以及白衣天使的白。,鼓励,positive
25, 花开十天，依然灿烂，花开不谢！疫情来袭，继续宅家，默默祈福：国泰民安，风调雨顺，希望“疫情”早点过去,鼓励,positive
26, 人生最睿智的策略是真诚。全国疫情爆发，捐款捐物遵医爱医是善；做好自己的本分，守住善念的底线，真诚待人助人为乐也是善。,鼓励,positive
27, 青春是红色的，像燃烧的火焰，像初升的太阳，朝气蓬勃，充满希望，愿把光和温暖无私地奉献。遇到熟人不握手；保持距离莫触碰；,鼓励,positive
28, 把努力当成你的一种习惯，而不是一时的热血。早安树信心，去焦虑，抗击疫病能胜利！,鼓励,positive
29, 要从容地着手去做一件事，但一旦开始，就要坚持到底。这个春节莫瞎串，冠状病毒藏武汉。,鼓励,positive
30, 立春!风有信，花不误，岁岁如此，永不相负没有一个冬天不会过去没有一个春天不会到来春天如期而至，疫情终将过去加油!,鼓励,positive
31, 洗个澡，彻彻底底的让霉运全部走掉，换一种新的心情迎接接下来的每一天。,鼓励,positive
32, 希望如期而至的不只春天，还有疫情过后平安的所有人。愿山河无恙，人间皆安,鼓励,positive
33, 别再问我工作何必这么拼，我之所以这么努力，因为我想要的生活比你的贵…抗击疫情不慌张，科学防控保健康。,鼓励,positive
34, 致敬那些抗疫白衣天使，心系家乡，病毒赶快走吧，让生活让一切重回正轨。,鼓励,positive
35, 一个最困苦最卑贱最为命运所屈辱的人，只要还抱有希望，便无所怨惧。免得互相来传播，日子还靠自己过。,鼓励,positive
36, 全国各城市都应该马上启动紧急措施，防范于未然，中国加油，武汉加油!,鼓励,positive
37, 你要相信，你为之努力的事情，一定会有好结果。虽然感染许多人，劝你不要太自大。,鼓励,positive
38, 伟大的热情能战胜一切！只要你努力地不懈地追求，就定能达到目的。就算两人很投机，聊天最好用手机。,鼓励,positive
39, 自由的生活，才能让自己活得更有底气。所以，多花时间努力，少点功夫矫情。冠毒扰闹黄鹤楼，尝尝十亿铁拳头,鼓励,positive
40, 你都不努力有什么资格羡慕别人比你强。要咳嗽，须遮掩，别握手，保健康。,鼓励,positive
41, 与其因为别人看扁你而生气，倒不如努力争口气。争气永远比生气漂亮和聪明。冠状病毒太严重，呆在家里别乱动。,鼓励,positive
42, 磨难，是生活对你的一次考验。如果想得满分，就必须奋斗。加油，武汉！,鼓励,positive
43, 向日葵告诉我，只要面对着阳光努力向上，日子就会变得单纯而美好。勤洗手、用肥皂，一定要洗20秒；,鼓励,positive
44, 努力才有成功的可能，不努力连可能都没有。武汉市区疫情重，中央政府很震惊。,鼓励,positive
45, 人需要梦想，人生需要希望，他们所梦想的，所希望的不是自身利益，而是大公无私的事业。保护生命战疫情，驱赶“瘟神”齐上阵。,鼓励,positive
46, 现在不玩命，将来命玩你，现在不努力，未来不给力。世界上只有想不通的人，没有走不通的路。有吃有喝有网络，再呆十天也无妨。,鼓励,positive
47, 斗争是掌握本领的学校，挫折是通向真理的桥梁。看疫情，实严峻，叫同志，要谨记。,鼓励,positive
48, 锄禾日当午，睡觉好辛苦!睡了一上午，还有一下午。晚上接着睡，实在太痛苦。为了保平安，辛苦就辛苦!病毒猛如虎，人人如老鼠。,鼓励,positive
49, 在逆境中走向沉沦是懦夫的表现；在逆境中奋起，才是最明智的选择。不聚会，不聚餐，减少接触保平安。,鼓励,positive
50, 强者并不是不跌跤，而是能够在哪里跌倒便从哪里站起来。众志成城，战胜疫情！,鼓励,positive
51, 你的努力里藏着黄金屋和颜如玉，还藏着父母暮年的欢喜和儿女童年的无忧无虑。个人物品不混用，洗手除菌用香皂。,鼓励,positive
52, 以德为本，待人要诚；勤奋工作，处事要公；晓之以理，动之以情；无私奉献，真情感人。众志成城，战胜疫情！,鼓励,positive
53, 生命的最大用处是将它用于能比生命更长久的事物上。身体不适及时医，基金保障有所依。,鼓励,positive
54, #科学抗击疫情#我们共同努力带头宅在家从我做起，当好“守门员”做到不出门不扎堆，就是对自己和亲人最大的保护！,鼓励,positive
55, 【善待他人，体谅他人，热爱生命，努力生活。】外来朋友请上报，你好他好大家好。,鼓励,positive
56, 疫情结束了，去见想见的人、去想去的地方、去吃想吃的美食；疫情结束了，愿日子清净、抬头遇到的都是柔情！,鼓励,positive
57, 奥维德说：人的内心充满恐惧还是希望，全凭良心的判断。众志成城，战胜疫情！,鼓励,positive
58, 一个人几乎可以在任何他怀有无限热忱的事情上成功。心态也要保持好，莫听谣言胆就颤。,鼓励,positive
59, 努力向前走一步，离梦想就更近一步。易感人群数要减，接种疫苗最简单（安全套可保安全）。,鼓励,positive
60, 接纳自己的感觉就是欣然接受自己身上改变不了的条件，努力争取可以变得更好的部分。村里人，不乱窜，冠状病毒在作乱。,鼓励,positive
61, 女人，要么美一点，要么努力一点，如果又美又努力，――那就可以拽一点。韭菜温中开胃口，又能补肾暖膝腰。,鼓励,positive
62, 疫情期间，人人能尽出一份力！减少出门，科学防护，不聚会，不信谣！我们同心协力，抗疫必胜！,鼓励,positive
63, 放一盏水灯，许一个心愿!!愿2020年每个人都能平安健康!武汉加油!中国加油!,鼓励,positive
64, 为了保住这最后的、最伟大的自由堡垒，我们必须尽我们所能。禁烧纸，勿祭祀，关键期，不迟疑。,鼓励,positive
65, 武汉加油！中国加油！静待春暖花开！致敬一线工作人员！一切都会好起来的！,鼓励,positive
66, 我相信你一定成功，学习越来越好，比期中考得更好，一定要努力争取明天更美好。多喝水，保睡眠，提高免疫身体棒。,鼓励,positive
67, 努力赚钱为了将来的某一天我们都能说一句：有钱，真好!而不是无奈的说：有钱，就好了……中药可预防，疫苗最有效。,鼓励,positive
68, 【疫情防控的句子】有发烧、早报告。出门少、戴口罩。勤洗手、不握手。拒热闹、运动好。,鼓励,positive
69, 做好眼前的事，珍惜身边的人，走好脚下的路，努力实现自己的小目标，你好，三月。打赢疫情阻击战，共建美好腾格里。,鼓励,positive
70, 聪明靠努力学习，知识靠平日积累。遇到病人带口罩，人多不去凑热闹，,鼓励,positive
71, 让我们一起祝福武汉，祝福中国!困难只是暂时的，胜利终将属于我们!,鼓励,positive
72, 荷花虽好，也要绿叶扶持，感谢每一个成员，我代表团队为你们的努力点赞。捐款捐物防疫情，争做中华好公民。,鼓励,positive
73, 勇气是一切天赋中最好的天赋，它先于一切。只要还有一粒米，不往人多地方挤。,鼓励,positive
74, 真正的强者是在逆境中保持乐观，笑傲人生的人。有来车，快准收；遇争议，灵活处。,鼓励,positive
75, 没有一个冬天不会过去没有一个春天不会到来共同努力战“疫”终将结束!,鼓励,positive
76, 新型冠状病毒感染的肺炎疫情牵动全国人心，大家守望相助、众志成城、共克时艰，一起驰援武汉。,鼓励,positive
77, 正像劳累的一天带来愉快的睡眠一样，勤劳的生命带来愉快的死亡。洗好手来拿口罩，内外上下看仔细。,鼓励,positive
78, 当自己累的时候，就转身看看身边在努力的人。为了健康大家事，注意防止病毒传。,鼓励,positive
79, 穿上白大褂！无论怎样的病人，都要尽力去帮患者，这就是我们的专业精神！再次致敬白衣天使们！你们是最了不起的！,鼓励,positive
80, 希望宝贝在新的学期里有新的进步，尊敬老师，爱护同学，上课认真听，能积极发言。大家一定要牢记，公共场所不要去。,鼓励,positive
81, 无目标而生活，犹如没有罗盘而航行。下班后，应独处；串宿舍，不应有。,鼓励,positive
82, 眼含泪水，心系天下“钟”究是你，迎“南”而上，重于泰“山”！致敬最美的人！,鼓励,positive
83, 加强农贸市场监管和野生动物管控，内防扩散、外防输出，避免聚集性疫情发生。,鼓励,positive
84, 其实，人不怕没有机会，就怕有了机会不能驾驭。戴口罩、讲卫生，勤消毒、要力争。,鼓励,positive
85, 对生活不满，对人生不满，对自己不满，那就努力成为一个让自己满意的人。开窗通风，煮熟食物。,鼓励,positive
86, 你是一个聪明的孩子，如果你能再守纪律些，老师会更喜欢你，真希望那一天早日到来！春节期间少出去，大家在厝看电视。,鼓励,positive
87, 世界上有20多岁的朽木，也有80多岁的常青树。禁花灯，禁游艺，朋友们，要牢记。,鼓励,positive
88, 要办一件事，就要下定决心办下去，不要优柔寡断，失去机会。群防控、必能赢，防疫战、必胜利。,鼓励,positive
89, 许多人只需要再多支持一分钟，多做一次努力，就能反败为胜。成功招揽成功，失败招揽失败。挣钱无论多与少，全家健康才更好。,鼓励,positive
90, 你拼命挣钱的样子，虽然有些狼狈，但是你靠自己努力的样子，真的很美！老年人，莫大意，您的健康子孙系。,鼓励,positive
91, 不要为一时的失败而沮丧，更不要为一时的挫折而失去对人生的信心。发热和干咳，就诊莫等候。,鼓励,positive
92, 别把还有未来当成现在不努力的借口。连当下的时间都无法把握的人，没理由相信他能规划好未来。疫情来，势汹汹；重预防，讲细节。,鼓励,positive
93, 路是自己选的，所以即使以后会跌倒，会受伤，也都要学会自己承受，自己疗伤。我们都是这样，学会长大的。,鼓励,positive
94, 你若光明，这世界就不会黑暗，你若心怀希望，这世界就不会彻底绝望，你的光芒源于你的心。众志城，瘟疫散，上下一心做贡献。,鼓励,positive
95, 我们总以为，是生活欠我们一个满意，其实，是我们欠生活一个努力。清热解毒吃香椿，健脾理气效果好。,鼓励,positive
96, 不要给我希望，又让我失望，我怕，我会绝望。我在家，我骄傲；我为祖国省口罩。,鼓励,positive
97, 加油吧，只要你肯用心，生活无论何时都不会负你。越努力，越幸运。全心全意为人民，不获全胜不收兵。,鼓励,positive
98, 只要人人都献出一点爱，世界将变成美好的人间!众志成城，一定能打赢这场狙击战，疫情散去，春暖花开!,鼓励,positive
99, 疫情在家该吃吃该喝喝该睡睡别一见面人家都胖十斤咱才胖五斤好像咱家条件不行似的,鼓励,positive
100, 读书虽苦，但那是你看世界的路。你今天的所有努力，都是你未来生活的底气。家庭保持通风好，讲究卫生好习惯。,鼓励,positive
101, 世界上最幸福的事之莫过于经过一番努力后，所有东西正慢慢变成你想要的样子。该病不可怕，防治有诀窍；,鼓励,positive
102, 每一个你讨厌的现在都有个不够努力的曾经。县委政府好领导，党员干部觉悟高。,鼓励,positive
103, 在家闷坏了，带上口罩接老公下班，路上的市民99％都带了口罩噢！很棒！大家的防疫意识都很强呢。武汉加油！,鼓励,positive
104, 没有平日的失败，就没有最终的成功。重要的是分析失败原因并吸取教训。,鼓励,positive
105, 坚持在防控一线用身影指挥、用行动说话，坚决打好打赢疫情防控阻击战,鼓励,positive
106, 没有永远的晴天，也没有永远的雨季。晴天晒晒太阳，雨天听听雨声，这就是心情!,鼓励,positive
107, 亲爱的自己，无论有多困难，都坚强地抬头挺胸，告诉所有人，你并非他们想象的那样不堪一击。遇困难，别着急，政府来帮你解决。,鼓励,positive
108, 你的笑会让我坚强，是你不知道而已。疫情还没控制住，治疗方法有点难。,鼓励,positive
109, 谁要是想着将来，就有生活的意义和目的。元宵节，不热闹，无烟花，无鞭炮。,鼓励,positive
110, 努力不懈的人，会在人们失败的地方获得成功。万众一心，众志成城，防控疫情，人人有责！,鼓励,positive
111, 非常时期，不聚会、不聚餐、不出门，不是人情淡薄，而是健康第一、生命至上。,鼓励,positive
112, 坚持实事求是，发挥网格化管理优势，严格控制传染源，切断传播途径，保护好易感人群，把各项防控措施落到实处。,鼓励,positive
113, 每一次的跌倒后重新站起来都会让人变得愈发坚强，生活一半是回忆，一半是继续。发烧就找街道办，医护人员上门看。,鼓励,positive
114, 让我们在春天里播下理想的种子，在秋天里收获辉煌的希望。高唱胜利的凯歌，共创美好的明天。遇到病人戴口罩，接触病源危险高;,鼓励,positive
115, 只是希望从现在起，做一个自律的人，从体重到人生管理好自己。如有不适立就诊，疫情防控莫大意。,鼓励,positive
116, 不要为已消尽之年华叹息，必须正视匆匆溜走的时光。禁花灯，禁游艺，朋友们，要牢记。,鼓励,positive
117, 愿疫情早日得到根除，愿全国同胞早日脱离这困境，愿身边所有人平平安安，健健康康。中国加油!!!武汉加油!,鼓励,positive
118, 希望众生平安，远离疾苦，希望如期而至的不止春天，还有疫情过后健康的你～武汉挺住，中国加油,鼓励,positive
119, 努力活出自己最好的样子，其他的一切自然会随之而来，不迈出脚步，永远找不到你前进的方向。再来相聚笑开颜，二劝朋友别聚餐。,鼓励,positive
120, 一场疫情，让我们明白：钱财买不来生命，利益换不回健康，最大的财富，就是活着，最大的幸福，就是平安！,鼓励,positive
121, 致敬每一个坚守的岗位！致敬每一位逆行者！致敬每一位白衣天使！这是一场义无反顾的战役！一场必胜的阻击战！中国必胜！,鼓励,positive
122, 一方有难，八方支援。危难之际，想人民所想，急人民所急，帮人民所求。,鼓励,positive
123, 不负时间的馈赠，努力活成喜欢的样子。疑似肺炎早隔离；千万不要乱走动；,鼓励,positive
124, 莫怨时间够不够，莫叹机会有没有，自古成功靠努力，何必坐着等白头。齐心协力来防范，受点委屈作贡献。,鼓励,positive
125, 有你们的关心和支持，这个冬天不再冷！向疫情防控一线的最美逆行者致敬！战“疫”之路，你我同在！,鼓励,positive
126, 我有个愿望：待到春暖花开，山河无恙，我们依约同行，一起来看人山人海!愿这场路过的疫情早一天离开。早安!,鼓励,positive
127, 能使你坚强的不是欢乐，而是悲伤，能使你坚持的不是欢欣，而是伤痕。,鼓励,positive
128, 有些事情坚持不下去了，我告诉自己为了孩子，要努力！其实，只是为了我自己。飞沫接触人传人，离开活体就死掉。,鼓励,positive
129, 公心、爱心，事事在心；重德、重才，时时为重。众志成城，战胜疫情！,鼓励,positive
130, 强者在流泪时，也挺直腰杆；弱者在欢笑时，也弓背哈腰。加油中国，加油武汉！,鼓励,positive
131, 你真是一个知识渊博的孩子！你懂得比老师还多，老师都有些羡慕了，继续努力啊！发热不要慌，发热门诊帮。,鼓励,positive
132, 我要努力，至少不给未来得自己回忆时，留下任何遗憾。一月再见，二月你好。海带预防白血病，去脂降压也很好。,鼓励,positive
133, 今年过年做到不出门，不打扰，不是人情淡薄，是生命第一，老实待家里，是对社会最大的贡献，武汉加油。,鼓励,positive
134, 我不够优秀倒也还好，我不会期待突如其来的好运，只希望所有的努力终有回报。分片包组做观测，支部党员桥头堡。,鼓励,positive
135, 人生最重要的不是努力，不是奋斗，而是选择，选择比努力更重要。人人做到早防范，野生动物莫嘴饱。,鼓励,positive
136, 只有把自己的身心同壮丽的事业联系起来，生活才会变得充实而有意义。不往人群挤，通风要确保。,鼓励,positive
137, 汗水永远是成功的铺石路，只要付出，希望就在前方，为了美好的明天，加油。家庭保持多通风，讲究卫生好习惯。,鼓励,positive
138, 人生就像一块调色板，有明亮，也有灰暗，谁都希望五彩缤纷，有的结果并不尽然。儿女城里住，老人在农村，带病不回村，勿做不孝孙。,鼓励,positive
139, 雨是大地的泪点，使她的微笑保持着青春不谢。测体温、做登记，有症状、早隔离。,鼓励,positive
140, 疫情面前，为何逆行?因为要抓住那道名为“生”的光亮。在防疫的战场上，只要我们齐心协力就一定能赢!加油武汉!加油中国!,鼓励,positive
141, 愿春暖花开，人人可以街头开怀大笑之日，回珈相聚。武汉加油!中国加油。天佑中华。,鼓励,positive
142, 没有一个冬天不会过去没有一个春天不会到来望一切恢复如初，望所有的疾病散去春天终究会回来，美好终究会到达,鼓励,positive
143, 你没有任何的错，只不过是配不上我的努力。洗手步骤有讲究；内外夹弓大立腕；,鼓励,positive
144, 梦想也许今天无法实现，明天也不能。重要的是，它在你心里。重要的是，你一直在努力。不要抱侥幸，武汉封城了。,鼓励,positive
145, 美好生活需要靠自己努力奋斗，工作、生活，要分得清清楚楚，吃一堑长一智！及早发现早报告；电话报到村医室；,鼓励,positive
146, 成功绝非易事。我们必须加倍努力！遇到病人戴口罩，接触病源危险高;,鼓励,positive
147, 一方有难，八方支援！心系武汉，心系疫情！捐款捐物，雪中送炭！为民族为国家贡献着自己的一份绵薄之力。,鼓励,positive
148, 疫情只是路过，却让你体会，不要总等着来日方长，这个世界总有意外存在，该做的就做，别留遗憾！,鼓励,positive
149, 人生最开心的事、莫过就是经过自己的努力之后，一切都变成自己喜欢的样子。话说此物是个啥？让我给你来絮叨。,鼓励,positive
150, 步入2020，一场突如其来的疫情把所有人敲懵了，好像每天醒来都有很多坏消息等着你去看。,鼓励,positive
151, 七大姑八大姨们：村里各进出路口都已封闭，咱们要响应国家号召：不出门访亲、不乱跑聚会电话寄亲情、视频送祝福做好你我，健康中国!,鼓励,positive
152, 疫情发生以来，民生保障成为百姓关注的焦点。急群众之所急，解群众之所忧，是各部门领导干部的责任所系。,鼓励,positive
153, 路没有脚长，山没有人高，要相信自己是强者。讲文明、除陋习，担责任、守法纪。,鼓励,positive
154, 没有一个冬天不可以逾越，没有一个春天不会到来。我在上海，武汉加油！中国加油！期待春暖花开再相约！,鼓励,positive
155, 致敬白衣使者，致敬守护生命的英雄，万众一心，遇事不怕不惧，武汉人民加油！我们一起渡过难关！武汉雄起！,鼓励,positive
156, 没钱没背景，你还不努力，等着天上掉馅饼吗?为把疫情防控好，不分昼夜在操劳。,鼓励,positive
157, 失之桑榆，得之东篱，努力过了，就不必为遗憾唏嘘叹息，那只会蹉跎人生。今年过年把门关，事情发生在武汉。,鼓励,positive
