,text,tag
0,从黎明到黄昏，阳光充足，胜过一切过去的诗。,旅游
1,这世界比想象的宽广。,旅游
2,世事千帆过，前方终会是温柔和月光。,旅游
3,背包，相机，目的地，下一站，我不告诉你~,旅游
4,你透过车窗看风景，山川湖泊也在看你。,旅游
5,光怪陆离都经历，山川湖海放心里。,旅游
6,愿你我可以带着最微薄的行李和最丰盛的自己在世间流浪。,旅游
7,被好风景收买。,旅游
8,我在人间贩卖黄昏，只为收集世间温柔去见你。,旅游
9,一切开心不开心都会过去的，但是前行路上不要忘了抬头看看阳光。,旅游
10,以后想要开自动挡的车去旅行，这样人生只有悲欢，没有离合。,旅游
11,云朵偷喝了放在屋顶的酒，于是脸红变成了晚霞。,旅游
12,我疯狂收集每一个快乐的瞬间，用它们来抨击每一个糟糕的日子。,旅游
13,愿你我既能朝九晚五，又能浪迹天涯。,旅游
14,以为是乏味的城市，却遇见彩色的梦和许多美好。,旅游
15,别忘了答应自己要做的事，别忘了答应自己要去的远方，无论有多难，无论有多远。,旅游
16,你说，我们就山居于此吧，胭脂用尽时，桃花就开了。,旅游
17,问：为什么喜欢爬山？ 答：因为山在那。 或许旅行也一样，因为路在那。,旅游
18,一个背包，几本书，所有喜欢的歌，一张单程车票，一颗潇洒的心。,旅游
19,一车+两人+三餐+四季,旅游
20,想要未知的疯狂，想要声色的张扬，想要在最好的时光在最美地方。,旅游
21,有时候我们不大胆一次，就永远不会清楚这个世界有多精彩，有时候不能让自己前进的，恰恰就是自己那颗保守不变的心。,旅游
22,人生得意须尽欢，胡吃海喝需尽兴。,旅游
23,如果每个人都是一颗小星星，那旅行时就是脱离轨道，和别的星星相遇。,旅游
24,旅行不是济世良药，但却是一片阿司匹林。虽然解不了生活的毒，但化得了生活的苦。,旅游
25,除了这一生，我们又没有别的时间，能走多远就走多远吧。,旅游
26,把鸡毛蒜皮，换成风和日丽。,旅游
27,收集照片就是收集世界。,旅游
28,看过浮生万物也遍览无数山河，依然要独立和温暖。,旅游
29,人间烟火气，最抚凡人心。,旅游
30,往心里装一些阳光和花海，再多装一些少女心。,旅游
31,我想一个人旅行，可以不带相机，也不要带上手机，但一定要背上几本书，在花海里，草丛旁悠然品味，闲淡时光里徜徉书海。,旅游
32,旅行，不过是为了迷失自己，然后发现自己。,旅游
33,你要做的就是面朝大海，喝一杯茶，在阳光下懒懒的睁开眼睛。,旅游
34,我总是惊讶的发现，我不假思索地上路了，因为出发的感觉太好了。世界充满了可能性。,旅游
35,全世界有224个国家和地区，一年去2个，需要112年，一年去4个，需要56年，你打算多久去看看？,旅游
36,要么旅行，要么读书，身体和灵魂必须有一个在路上。 ,旅游
37,从明天起，做一个幸福的人，喂马、劈柴，周游世界。从明天起，关心粮食和蔬菜，我有一所房子，面朝大海，春暖花开,旅游
38,旅行就是，离开自以为是的生活，串联起以前的回忆，并以开放的态度结识，日常生活之外的有趣之人，至于风景，那只是附赠品。,旅游
39,向前走吧，沿着你的道路，鲜花将不断开放。,旅游
40,“缓慢不只是民宿，是一趟放慢的速度，是一种旅行的方式，是一处远方的故乡，是一场意义的追寻，是一個灵魂的信仰。”,旅游
41,人生就是一场未知目的地的旅行，很多时候，我们并不知道自己接下来会遇见怎样的未来。只不过有时候，我们只是一味的狂奔，却忘记了旅行的意义。,旅游
42,旅行的好处在于可以暂时远离日常生活，还不必承担平日里琐碎的责任。,旅游
43,。,旅游
44,世界旅行不像它看上去的那么美好，只是在你从所有炎热和狼狈中归来之后，你忘记了所受的折磨，回忆着看见过的不可思议的景色，它才是美好的。,旅游
45,旅行之于我，就是让梦想照进现实的一种可能，我们必须适时地让自己走出去，与陌生人友善地微笑，换一种和这个世界打交道的方式，去重新学习爱。,旅游
46,人们常常在旅途中，猛地想起湮灭许久的往事，忆起许多故人的音容笑貌。好像旅行是一种溶剂，融化了尘封的盖子，如烟的温情就升腾出来了。,旅游
47,只有一个人在旅行时，才听得到自己的声音，它会告诉你，这世界比想象中的宽阔。,旅游
48,人不是向外奔走才是旅行，静静坐着思维也是旅行，凡是探索、追寻、触及那些不可知的情境，不论是风土的，或是心灵的，都是一种旅行。,旅游
49,美食和风景的意义，不是逃避，不是躲藏，不是获取，不是记录，而是在想象之外的环境里，去改变自己的世界观，从此慢慢改变心中真正觉得重要的东西。,旅游
50,就算过几天就得回去，依旧上班，依旧吵闹，依旧心烦，可是我对世界有了新的看法。就算什么改变都没有发生，至少，人生就像一本书，我的这本也比别人多了几张彩页。这就是旅行的意义。,旅游
51,一辈子是场修行，短的是旅途，长的是人生。,旅游
52,我躺下来，以一张报纸当枕头。高高在我上方的，是会眨眼的星星，而当火车弯曲而行，这些星群便上上下下的画着弧线，望着它们，我睡着了。今天已经过去——我生命中所有天中的一天，明天又会是新的一天，而我依然年轻。,旅游
53,我知道你不甘于想一想以后就不想了。所以你得努力，连飞鸟都会鼓励你。,旅游
